symbol,name,description_original,description_eftcom,description_moringstar,merged_description
AVIE,Avantis Inflation Focused Equity ETF,"The fund invests primarily in a diverse group of U.S. companies in market sectors and industry groups the portfolio managers expect to appreciate in value if the U.S. inflation rate rises or is believed to be rising. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in companies of all market capitalizations.","AVIE focuses on sectors and industries that positively correlate with the US inflation rate. The fund includes US companies of all market capitalizations classified under market sectors and industry groups that historically have had, or are expected to have high performance in periods of inflation. Securities within the identified industries are evaluated based on size, profitability, and valuation metrics, including shares outstanding, book value, cash flows from operations, and accruals. Holdings are initially weighted by market-cap. Then, the fund overweights securities with smaller market capitalizations, higher profitability, and lower valuation. As an actively managed fund, the adviser has the discretion to make necessary investment decisions to meet its objectives.","The investment seeks long-term capital appreciation. The fund invests primarily in a diverse group of U.S. companies in market sectors and industry groups the portfolio managers expect to appreciate in value if the U.S. inflation rate rises or is believed to be rising. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities. The fund may invest in companies of all market capitalizations.","This fund seeks long-term capital appreciation by investing primarily in U.S. companies in market sectors and industry groups expected to perform well if U.S. inflation rises or is believed to be rising. Under normal conditions, at least 80% of its assets are invested in equity securities across all market capitalizations. As an actively managed fund, it evaluates and weights securities within these identified industries, initially based on market capitalization, with overweighting applied to companies demonstrating smaller size, higher profitability, and lower valuation metrics."
DIHP,Dimensional - International High Profitability ETF,"The Portfolio is designed to purchase securities of large non-U.S. companies that the Advisor determines to have high profitability relative to other large capitalization companies in the same country or region, at the time of purchase. The Portfolio may emphasize certain stocks, including smaller capitalization companies, lower relative price stocks, and/or higher profitability stocks as compared to their representation in the large-cap high profitability segments of developed non-U.S. markets.","DIHP invests in a broad and diverse group of non-US large-cap stocks from developed markets, actively selected based on perceived higher profitability relative to other large-cap companies in the same countries or region.

DIHP utilizes the issuer's expertise in combining research, portfolio design, portfolio management, and trading to generate long-term returns. From a broad universe of large-cap stocks from developed countries outside the US, the fund selects companies that are considered to have high profitability. A company is considered to have high profitability based on cash flows, earnings, or profits from operations in relation to its book value or assets. Stocks selected for the portfolio are weighted based on their market capitalization, relative price, and/or profitability characteristics. Buy and sell decisions can be based on short-term criteria such as stock momentum, market liquidity, and transaction costs. The fund may use derivatives to leverage exposure or manage cash. Lending of portfolio securities is permitted to generate additional income.","The investment seeks to achieve long-term capital appreciation. The Portfolio is designed to purchase securities of large non‑U.S. companies that the Advisor determines to have high profitability relative to other large capitalization companies in the same country or region, at the time of purchase. The Portfolio may emphasize certain stocks, including smaller capitalization companies, lower relative price stocks, and/or higher profitability stocks as compared to their representation in the large‑cap high profitability segments of developed non‑U.S. markets.","This investment seeks long-term capital appreciation by primarily purchasing securities of large non-U.S. companies from developed markets. The core strategy involves actively selecting companies determined to have high profitability relative to other large capitalization companies in their country or region at the time of purchase, often measured by cash flows, earnings, or operational profits compared to book value or assets. While focusing on high profitability within the large-cap universe, the portfolio may also emphasize certain stocks, potentially including smaller capitalization companies, lower relative price stocks, or even higher profitability stocks compared to their representation in the broad large-cap high profitability segments of developed non-U.S. markets. Stocks selected for the portfolio are weighted based on characteristics such as market capitalization, relative price, and/or profitability, and buy/sell decisions may consider short-term factors like momentum, liquidity, and transaction costs. The fund may utilize derivatives for leverage or cash management and is permitted to lend its securities to generate additional income."
RNRG,Global X Renewable Energy Producers ETF,"The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to publicly traded companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels (including publicly traded companies that are formed to own operating assets that produce defined cash flows. The fund is non-diversified.","RNRG tracks a market-cap-weighted index of global renewable energy companies including YieldCos.

RNRG offers exposure to companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels including YieldCos a holding company for renewable energy projects that have been spun off by a larger energy utility. The portfolio is market-cap-weighted, with a cap of 6% on individual names. While YieldCos are sometimes marketed as MLPs for renewables, note that these firms use a traditional C-corp structure with no inherent tax benefits. Dividends from the fund are taxable. The Fund name and investment strategies changed effective November 19, 2018. The fund originally tracked the Indxx Global YieldCo Index through November 16, 2018 and the Indxx YieldCo & Renewable Energy Income Index thereafter. On Feb. 1, 2021, the fund name, ticker (YLCO) and index changed, dropping its focus on YieldCos while still including them in the fund.","The investment seeks to track, before fees and expenses, the price and yield performance of the Indxx Renewable Energy Producers Index. The fund invests at least 80% of its total assets in the securities of the underlying index and in ADRs and GDRs based on the securities in the underlying index. The underlying index is designed to provide exposure to publicly traded companies that produce energy from renewable sources including wind, solar, hydroelectric, geothermal, and biofuels (including publicly traded companies that are formed to own operating assets that produce defined cash flows. The fund is non-diversified.","This ETF seeks to track an index composed of publicly traded global companies that produce energy from renewable sources, including wind, solar, hydroelectric, geothermal, and biofuels, as well as companies formed to own operating assets (YieldCos). The underlying index is market-cap-weighted with a 6% cap on individual securities. The fund invests at least 80% of its total assets in the securities of this index and related ADRs and GDRs. It is considered non-diversified."
ESNG,Direxion MSCI USA ESG - Leaders vs. Laggards ETF,"The investment seeks investment results, before fees and expenses, that track the MSCI USA ESG Universal Top - Bottom 150/50 Return Spread Index. The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in securities that comprise the Long Component. The index consists of a portfolio that has 150% long exposure to the MSCI USA ESG Universal Top 100 5% Issuer Capped Index (the ""Long Component"") and 50% short (or inverse) exposure to the MSCI USA ESG Universal Bottom 100 5% Issuer Capped Index (the ""Short Component""). It is non-diversified.",,,"This fund seeks to track the performance of an index that implements a distinctive ESG-focused strategy. The underlying index employs a 150% long exposure to the top 100 U.S. companies ranked by ESG Universal scores and a 50% short exposure to the bottom 100 U.S. companies by the same criteria, with both components utilizing a 5% issuer cap. The fund typically invests at least 80% of its net assets in securities from the long component. This strategy aims to capture the return spread between ESG leaders and laggards in the U.S. market. Notably, the fund is non-diversified."
UMMA,Wahed Dow Jones Islamic World ETF,"The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to invests in equity securities of global companies (excluding U.S. domiciled companies) the characteristics of which meet the requirements of Shariah and are consistent with Islamic principles as interpreted by subject-matter experts (each, a “Shariah Compliant Company”). The adviser seeks to invest the fund’s assets in securities similar to the components of, and to achieve returns similar to those of, the Dow Jones Islamic Market International Titans 100 Index (the “Index”). The fund is non-diversified.","UMMA, though actively managed, seeks to achieve similar returns as the Dow Jones Islamic Market International Titans 100 Index. In doing so, the fund invests in a portfolio that generally replicates the indexs holdings, which comprises 100 of the largest Shariah-compliant companies outside the US. This includes firms from developed, emerging, and frontier markets. The selection process starts by removing companies that derive more than 5% of their revenue from Shariah-prohibited activities such as: non-Islamic finance, alcohol, tobacco, weapon, pork-related products, and certain forms of entertainment. Remaining firms are then filtered using accounting-based screens that focus on certain financial ratios. In addition, companies are further screened to assess ESG risks relating to issues, such as illegal commercial practices, human rights, labor disputes, and workplace safety. UMMAs international exposure complements HLAL, its sibling fund that holds Shariah-compliant US securities.","The investment seeks long-term capital appreciation. The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to invests in equity securities of global companies (excluding U.S. domiciled companies) the characteristics of which meet the requirements of Shariah and are consistent with Islamic principles as interpreted by subject-matter experts (each, a “Shariah Compliant Company”). The adviser seeks to invest the fund’s assets in securities similar to the components of, and to achieve returns similar to those of, the Dow Jones Islamic Market International Titans 100 Index (the “Index”). The fund is non-diversified.","This actively managed ETF seeks long-term capital appreciation by investing in equity securities of global companies located outside the United States. Its primary focus is on identifying companies whose characteristics meet the requirements of Shariah and are consistent with Islamic principles, as interpreted by subject-matter experts. The fund aims to achieve returns similar to the Dow Jones Islamic Market International Titans 100 Index by investing in securities that generally replicate the index's holdings, comprising approximately 100 of the largest Shariah-compliant companies outside the US, spanning developed, emerging, and frontier markets. The rigorous selection process involves excluding companies deriving significant revenue from prohibited activities (such as non-Islamic finance, alcohol, tobacco, pork-related products, etc.), applying financial ratio screens, and assessing ESG risks. The fund is considered non-diversified, and this international exposure serves to complement potential investments in US-focused Shariah-compliant securities."
QRMI,Global X NASDAQ 100 Risk Managed Income ETF,"The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100® Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100® Index. The fund is non-diversified.","QRMI tracks an index that holds NASDAQ 100 stocks while employing an options collar strategy. The fund buys 5% OTM put options and sells ATM covered call options on a monthly basis.

QRMI holds the constituents of the NASDAQ 100 Index while employing an options collar strategy which involves buying 5% out-of-the-money put options and selling at-the-money covered call options in an amount that corresponds to the value of the portfolio. The funds exchange-traded put option positions are purchased on a monthly basis and will be held until their one-month maturity. At expiration, these options are either exercised or settled in cash. The options collar strategy seeks to generate a net-credit, meaning that the premium received from the sale of the call options will be greater than the premium paid when buying the put options. Investors should note that selling at-the-money call options caps the funds upside potential. In addition, buying and selling shares other than the monthly purchase and expiration dates of the options may result in different returns and buffer protection.","The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index. The fund invests at least 80% of its total assets in the securities of the Nasdaq-100 Monthly Net Credit Collar 95-100 Index (""underlying index""). The underlying index measures the performance of a risk managed income strategy that holds the underlying stocks of the NASDAQ 100® Index and applies an options collar strategy (i.e., a mix of short (sold) call options and long (purchased) put options) on the NASDAQ 100® Index. The fund is non-diversified.","This ETF tracks an index representing a risk-managed income strategy applied to the Nasdaq-100 Index. The strategy involves holding the underlying Nasdaq-100 stocks and employing a monthly options collar. Specifically, it buys approximately 5% out-of-the-money put options and sells at-the-money covered call options, aiming to generate a net credit from the premiums received. Investors should note that this strategy, while seeking income, caps the potential upside participation in the Nasdaq-100. The fund invests at least 80% of its assets in the securities of this index strategy and is non-diversified."
CLIX,ProShares Long Online/Short Stores ETF,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index consists of long positions in the online retailers included in the ProShares Online Retail Index and short positions in the ""bricks and mortar"" retailers included in the Solactive-ProShares Bricks and Mortar Retail Store Index. The fund is non-diversified.","CLIX tracks a fixed-selection, tier-weighted index of both long and short positions in US-listed securities.

CLIX is founded on the premise that the brick-and-mortar retail industry will wither under pressure from online shopping. The fund provides 100% long exposure to online retailers and 50% short exposure to traditional in-store retailers. (Note that this gives CLIX only 50% long beta exposure to the broader retail industry.) The underlying index is actually built from two sub-indexes, one long and one short. To be included in the longs, a company must draw none of its revenue from physical stores and must be listed on a US exchange, though it is not required to be a US company. Long constituents are market-cap-weighted. For the shorts, in-store sales need to account for at least 75% of revenue, with the same US exchange requirements as the longs. Short positions are equally weighted. CLIX gains its short exposure through the use of swaps.","The investment seeks investment results, before fees and expenses, that track the performance of the ProShares Long Online/Short Stores Index (the ""index""). The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index consists of a 100% long position in the equity securities contained in the ProShares Online Retail Index (the “Online Index”) and a 50% short position in the equity securities contained in the Solactive-ProShares Bricks and Mortar Retail Store Index (the “Retail Store Index”). The fund is non-diversified.",This ETF seeks to capture the market shift from traditional retail to online shopping by tracking an index that provides both long and short exposure. The fund takes 100% long positions in US-listed online retailers with no physical store revenue (weighted by market capitalization) and 50% short positions in US-listed traditional retailers deriving substantial revenue from in-store sales (equally weighted). The fund is non-diversified.
MOTE,VanEck Morningstar ESG Moat ETF,"The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The US Sustainability Moat Focus Index provides exposure to attractively valued companies with long-term competitive advantages while excluding those companies with high environmental, social and governance (”ESG”) risks. The fund is non-diversified.","MOTE tracks an equal-weighted index of US stocks perceived to have high fair value, sustainable competitive advantage, positive momentum, and excellent ESG ratings.

MOTE is a passively managed fund that tracks an index that provides exposure to US stocks of any market size that are deemed as wide moat companies (attractively priced stocks that have sustainable competitive advantages) with low ESG risk. The fund first selects wide moat companies using quantitative and qualitative factors. Companies with severe or high ESG Risk Scores, as well as those involved in products viewed as controversial, are screened out. Eligible securities are then ranked by momentum to only include the top 80%. Each sector is capped at 10%. The index is equally weighted, divided into two equal sub-portfolios, that follows a staggered rebalance. Half of the portfolio is rebalanced in June and the other in December.","The investment seeks to track as closely as possible, before fees and expenses, the price and yield performance of the Morningstar® US Sustainability Moat Focus IndexSM. The fund normally invests at least 80% of its total assets in securities that comprise the fund’s benchmark index. The Morningstar US Sustainability Moat Focus Index provides exposure to attractively valued companies with long-term competitive advantages while excluding those companies with high environmental, social and governance (”ESG”) risks. The fund is non-diversified.","This passively managed fund seeks to track a US equity index that focuses on attractively valued companies deemed to have sustainable competitive advantages, often referred to as a ""wide moat."" It screens for companies exhibiting positive momentum while excluding those with high environmental, social, or governance (ESG) risks and involvement in controversial products. The strategy selects US stocks of any market size using quantitative and qualitative factors for their moat, then ranks eligible securities by momentum to include only the top 80%. The underlying index is equally weighted across holdings, employs a 10% sector cap, and follows a staggered rebalancing schedule, with half of the portfolio adjusted in June and the other half in December. This non-diversified fund normally invests at least 80% of its total assets in the securities comprising its benchmark index."
ONG,Direxion Daily Oil Services Bull 2X Shares,"The index includes companies that have common stocks ordepositary receipts listed on a U.S. stock exchange and that provide services to the oil industry. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. It is non-diversified.","The security was delisted. The last day of trading on an exchange is April 21, 2023. ONG is a bullish one-day bet on the oil services industry. It attempts to return 2x the daily performance of an index comprising the top 25 largest and most liquid US-listed oil services companies. The index consists of stocks and depositary receipts of domestic and foreign companies that derive significant revenue from oil services to the upstream oil sector, including those involved in oil equipment, oil services, and oil drilling. The index takes the largest 50 stocks from the eligible universe, and then ranks them by both market capitalization and 3-month average daily trading volume. The resulting top 25 stocks are included in the portfolio and weighted by market capitalization. As a geared product, ONG is only designed as a short-term trading tool. Long-term returns could materially differ from those of the index due to daily compounding.",,"This fund was designed to provide leveraged exposure to companies offering services to the upstream oil sector, such as equipment, services, and drilling. Its strategy aimed to achieve 2x the daily performance of an underlying index composed of the top 25 largest and most liquid US-listed companies in this sector, selected and weighted based on market capitalization and trading volume. Classified as non-diversified, the fund invested at least 80% of its net assets in financial instruments like swap agreements, index securities, and tracking ETFs to gain this exposure. Intended purely as a short-term, one-day trading tool, its long-term returns could differ significantly due to daily compounding. This security is now delisted, with its last day of trading occurring on April 21, 2023."
MAKX,ProShares S&P Kensho Smart Factories ETF,"The fund invests in securities that ProShare Advisors believes, in combination, should track the performance of the index. The index selects companies focused on building the technology empowering the digitalization of manufacturing activities. The fund will invest in all of the component securities of the index in approximately the same proportion as the index. It is non-diversified.","MAKX is passively managed to target US-listed companies whose technologies empower digitalized factories to improve manufacturing processes. Such products and services support (i) connected and integrated digitalization, (ii) environmental sensing/ monitoring, advanced process control, predictive maintenance and equipment health monitoring, (iii) industrial machine and 3D vision, and (iv) demand response systems. To identify qualified companies, the index uses an automated scan on recent company filings. Each company is either classified as core or non-core, depending on the level of thematic involvement. Within each bucket, stocks are initially weighted equally, and then pure plays are overweighted. Weights are further adjusted for liquidity and diversification. The index is reconstituted annually and rebalanced semi-annually.","The investment seeks results, before fees and expenses, that track the performance of the S&P Kensho Smart Factories Index. The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index is designed to measure the performance of U.S.-listed companies focused on building technologies or products that enable the digitalization of manufacturing activities The index includes U.S. and non-U.S. companies. Under normal circumstances, it will invest at least 80% of its total assets in components of the index or in instruments with similar economic characteristics. It is non-diversified.","This passively managed fund aims to track the performance of an index focused on U.S.-listed companies building technologies that enable the digitalization of manufacturing activities. These technologies empower digitalized factories with solutions like connected integration, environmental sensing, advanced process control, predictive maintenance, industrial vision, and demand response systems. The index identifies companies via an automated scan and weights them based on factors including pure-play emphasis, adjusted for liquidity and diversification. The fund invests primarily in index components or similar instruments, holding at least 80% of its assets and often in similar proportions to the index. The index is reconstituted annually and rebalanced semi-annually. The fund is non-diversified."
KTEC,KraneShares Hang Seng TECH Index ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified.","KTEC tracks a market-cap-weighted index of the 30 largest Chinese technology companies.

KTEC is passively managed to provide exposure to the 30 largest Chinese technology companies listed in Hong Kong. The fund selects companies headquartered and operating primarily in Greater China (Hong Kong, Macau, and Mainland China). Companies should be in the industrials, consumer discretionary, health care, financials, or information technology sectors. These companies should also display strong research and development investment and high revenue growth under the following themes: internet, fintech, cloud computing, e-commerce, and digital technology. KTEC primarily invests in H-shares, but also includes the other major share classes like A, B, and N-shares, red chips, P and S-chips. The index is market-cap-weighted with an 8% cap limit per individual security. Holdings are rebalanced quarterly and reconstituted at least semi-annually.","The investment seeks to provide investment results that, track the price and yield performance of the Hang Seng TECH Index. Under normal circumstances, the fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is composed of the equity securities of the 30 technology companies with the largest free float market capitalization that are listed on the Hong Kong Stock Exchange with significant exposure to internet, fintech, cloud computing, e-commerce and digital technology. The fund is non-diversified.","This passively managed ETF seeks to track an index composed of the 30 largest, free-float market-capitalization weighted equity securities (with an 8% per-security cap) of Chinese technology and related companies primarily listed in Hong Kong. Investing at least 80% of its net assets in index components or instruments with similar economic characteristics, the fund targets companies operating out of Greater China with significant exposure to themes like internet, fintech, cloud computing, e-commerce, and digital technology. These companies, potentially spanning several sectors beyond just information technology, often display strong research and development investment and high revenue growth, holding various share classes, mainly H-shares. The fund is non-diversified, and its underlying index is rebalanced quarterly and reconstituted at least semi-annually."
OWNS,Impact Shares Affordable Housing MBS ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets in mortgage-backed securities backed by pools of mortgage loans that the fund’s Sub-Adviser believes were made to minority families, low-income families, and/or families that live in persistent poverty areas. It may also invest in mortgage-backed securities backed by pools of loans sourced from non-traditional originators including Community Development Financial Institutions (CDFIs) and minority-owned banks. The fund is non-diversified.","OWNS is the first fund to focus on affordable housing loans for underserved US communities. Using a proprietary algorithm, the fund adviser screens mortgage origination tapes that provide information (address, income, debt levels of borrowers and other demographic details) necessary to identify loans that are made to low- and moderate-income earners and minorities, particularly in: a) racially or ethnically concentrated areas of poverty (R/ECAP), b) persistent poverty counties (PPCs), and c) majority-minority census tracts. The fund primarily invests in agency MBS issued/guaranteed by Ginnie Mae, Fannie Mae, and Freddie Mac, though the funds active mandate means that it may also include non-agency MBS specifically sourced from Community Development Financial Institutions (CDFIs) and minority-owned banks. On March 18, 2024, the fund was reorganized and became successor to Impact Shares Affordable Housing MBS ETF.","The investment seeks to generate current income. Under normal circumstances, the fund will invest at least 80% of its net assets in mortgage-backed securities backed by pools of mortgage loans that the fund’s Sub‑Adviser believes were made to minority families, low‑income families, and/or families that live in persistent poverty areas. It may also invest in mortgage-backed securities backed by pools of loans sourced from non‑traditional originators including Community Development Financial Institutions (CDFIs) and minority-owned banks. The fund is non-diversified.","This fund seeks to generate current income by primarily investing in mortgage-backed securities (MBS). It specifically targets MBS pools backed by mortgage loans made to low-income and minority families, as well as families residing in underserved areas such as persistent poverty counties and majority-minority census tracts. A screening process is used to identify these loans. While typically investing in agency MBS, the fund may also include MBS sourced from non-traditional originators like Community Development Financial Institutions (CDFIs) and minority-owned banks. Under normal circumstances, at least 80% of the fund's net assets are invested in these targeted MBS. The fund is non-diversified."
XDAT,Franklin Exponential Data ETF,"Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to the fund's investment theme of exponential data. It invests predominantly in common stock. In pursuing the fund's investment theme, the investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States, including those in developing or emerging markets. The fund is non-diversified.","XDAT is actively-managed to invest in global companies believed to benefit from or facilitate Big Data and its applications such as AI, augmented and virtual reality, software-as-a-service, and personalized advertising and healthcare.

XDAT provides exposure to companies that may benefit from exponential data or the use of large data sets and/or the growth of data, including systems, services, hardware, software and other digital and physical infrastructure related to data creation, amplification, collection, cleaning, recording, analysis, processing, transmission, delivery, storage, encryption and security. These may include firms that either monetize data or have the potential in the future to monetize data, such as those offering cloud computing technologies and services, data supporting infrastructure, data analytics solutions, artificial intelligence, machine learning, and augmented and virtual reality. In constructing the portfolio the investment managers use a proprietary fundamental, bottom-up research and analysis which leverages insights from diverse sources. The Fund may invest across economic sectors but it leans heavily towards information technology related industries.","The investment seeks capital appreciation. Under normal market conditions, the fund invests at least 80% of its net assets in equity securities of companies that are relevant to the fund's investment theme of exponential data. It invests predominantly in common stock. In pursuing the fund's investment theme, the investment manager may invest in companies in any economic sector or of any market capitalization and may invest in companies both inside and outside of the United States, including those in developing or emerging markets. The fund is non-diversified.","This actively-managed ETF seeks capital appreciation by investing in global companies relevant to the exponential data theme. Under normal market conditions, it invests at least 80% of its net assets in equity securities, predominantly common stock, of firms believed to benefit from or facilitate the growth, management, analysis, and monetization of large data sets. This theme includes technologies like artificial intelligence, cloud computing, data analytics, and augmented/virtual reality. The fund can invest in companies of any market capitalization across various sectors globally, including emerging markets, though its portfolio may lean towards information technology related industries. It is classified as non-diversified."
IVDG,Invesco Focused Discovery Growth ETF,"The fund seeks to achieve its investment objective by investing primarily in exchange-traded common stocks of U.S. companies that Invesco Advisers, Inc. (the ""Sub-Adviser"")expects to have above average growth rates. It seeks to invest in newer companies or in more established companies that are in the early growth phase of their business cycle, which is typically marked by above average growth rates. The fund may invest in securities of issuers of all capitalization sizes; however, it will primarily hold securities of mid-capitalization issuers. It is non-diversified.","The security was delisted. The last day of trading on an exchange is March 30, 2023. IVDG is one of Invescos first ETFs to launch an actively managed, non-transparent product. Portfolio selection uses fundamental, bottom-up analysis on global companies with above average growth rates, typically newer companies and established companies in the early growth phase of their business cycle. IVDG has a non-transparent structure, unlike other ETFs it publishes its holdings quarterly with a 30-day lag. A Tracking Basket Structure is in place, which acts as a proxy portfolio that includes: some of the funds holdings from recent disclosure, significant portion of the funds holdings, and cash. This is designed to track IVDGs daily performance, facilitate arbitrage opportunities and help mitigate the risk of front-running. However, investors should note that its non-transparent structure could result in wider spreads.",,"This actively managed ETF, which was delisted with its last trading day on March 30, 2023, was designed to pursue above average growth rates. Utilizing fundamental, bottom-up analysis, it primarily invested in exchange-traded common stocks of U.S. companies, targeting those expected to exhibit above average growth, typically newer firms or established companies in the early phase of their business cycle. While it could invest across all capitalization sizes, it focused mainly on mid-capitalization issuers and was non-diversified. A notable characteristic was its non-transparent structure, which meant holdings were disclosed quarterly with a 30-day lag, employing a Tracking Basket Structure designed to facilitate arbitrage and mitigate front-running risk, though this non-transparent approach potentially resulted in wider trading spreads."
DOL,WisdomTree International LargeCap Dividend Fund,The fund normally invests at least 95% of its total assets (exclusive of collateral held from securities lending) in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified.,"DOL tracks a dividend-weighted index that measures the performance of dividend-paying large-cap companies outside Canada and the US.

DOL delivers a broad and high-yielding basket of international (ex-US and Canada) stocks, with the aim to prioritize growth potential and income focus. The fund constructs its large-cap universe by taking the 300 largest companies from the WisdomTree International Equity Index. It then selects and weights stocks by dividends, leading to small sector biases in its portfolio and making slight departures from a purely market-like exposure. Additionally, the fund applies a composite risk factor screen based on financial quality metrics and momentum factor in order to eliminate companies that have potential higher risk. DOL caps both country and sector weights at 25%. The index is reconstituted and rebalanced on an annual basis.","The investment seeks to track the price and yield performance, before fees and expenses, of the WisdomTree International LargeCap Dividend Index. The fund normally invests at least 95% of its total assets (exclusive of collateral held from securities lending) in constituent securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such constituent securities. The index is a fundamentally weighted index that is comprised of the large-capitalization segment of the dividend-paying market in the industrialized world outside the U.S. and Canada. The fund is non-diversified.","This ETF tracks an index focused on dividend-paying large-capitalization companies located outside the U.S. and Canada. The index is dividend-weighted, selecting and weighting eligible large-cap stocks based on the dividends they pay rather than market capitalization, which may lead to slight sector biases. The strategy aims to deliver a broad, high-yielding international basket with a focus on income and growth potential, incorporating a risk screen based on financial quality and momentum to exclude potentially higher-risk companies, and applying caps to country and sector weights. The fund is classified as non-diversified."
ITB,iShares U.S. Home Construction ETF,"The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified.","ITB provides investors with a traditional market-cap selection approach to the US homebuilding industry, with a capped weighting methodology to ensure diversification. The resulting basket of stocks isn't quite vanilla though: ITB trades purity for breadth. Its holdings extend past the confines of our narrow benchmark and into related industries that encompass: manufacturers, sellers, and distributors of home furnishings, homebuilding, housewares, specialty items, and materials used in construction and refurbishing. At times, this shows up as a lower beta play on the space. Still, ITB's portfolio can at times offer chunky positions in leading homebuilders. The underlying index will rebalance quarterly.","The investment seeks to track the investment results of the Dow Jones U.S. Select Home Construction Index composed of U.S. equities in the home construction sector. The index measures the performance of the home construction sector of the U.S. equity market, as defined by the index provider. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. It is non-diversified.","This ETF is designed to track the performance of the U.S. home construction sector by investing at least 80% of its assets in the components of an underlying index or investments with similar economic characteristics. It utilizes a market-cap selection approach with capped weighting to provide exposure. While its composition extends beyond pure homebuilders to include companies from related industries like home furnishings and building materials, offering broader coverage, it is classified as non-diversified. The underlying index is rebalanced on a quarterly basis."
