symbol,name,description,description_yahoo,description_etfcom,description_morningstar
SHFT,SoFi Smart Energy ETF,"The index follows a rules-based methodology that tracks the performance of the equity securities of publicly-traded large-, mid-, and small-capitalization U.S. and non-U.S. companies in developed and emerging markets that are selected based on a list of products and services that enable the practice of distributed energy generation. The fund will invest all, or substantially all, of its assets in the component securities that make up the index. It is non-diversified.","The index follows a rules-based methodology that tracks the performance of the equity securities of publicly-traded large-, mid-, and small-capitalization U.S. and non-U.S. companies in developed and emerging markets that are selected based on a list of products and services that enable the practice of distributed energy generation. The fund will invest all, or substantially all, of its assets in the component securities that make up the index. It is non-diversified.","The fund was delisted. The last day of trading on an exchange is February 20, 2024. ENRG provides exposure to global companies that support distributed energy resources (DER). The fund focuses on renewable energy sources, a subset of all possible DER solutions. Firms are screened to determine the percentage of revenue each company receives from DER compared to its total revenue by analyzing financial and sustainability reports, along with other publicly available information. Companies with at least 20% DER revenue or have at least a 10% increase in DER revenue over the prior year are considered, as well as those that disclose DER as a key revenue source. Companies are then screened for relevant sustainability and ESG standards. The index is reconstituted and rebalanced semi-annually, assigning each security an equal weight. Prior to February 14, 2022, the fund name was iClima Distributed Renewable Energy Transition Leaders ETF. Before August 9, 2022, the fund traded under the name iClima Distributed Smart Energy ETF and the ticker SHFT.",
KARS,KraneShares Electric Vehicles and Future Mobility Index ETF,"The fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is designed to track the equity market performance of companies engaged in the production of electric vehicles or their components or in other initiatives that may change the future of mobility, as determined by index provider.","The fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is designed to track the equity market performance of companies engaged in the production of electric vehicles or their components or in other initiatives that may change the future of mobility, as determined by index provider.","KARS tracks a modified market-cap-weighted index of stocks that are involved in the production of electric vehicles or other initiatives that may enhance future mobility.

KARS holds globally-listed stocks of companies that derive significant revenues from electric vehicles, energy storage technologies, autonomous navigation technology, lithium and copper mining, and hydrogen fuel cells. An index committee determines portfolio inclusion by scraping filings of proposed companies for thematic key terms and then back-testing the resulting basket. This gives a concentrated portfolio of about 32 companies that are market-cap-weighted, with weights of the top 8 securities capped at 5% and other securities at 2.5%. However, if the holdings are less than 32, equal-weighting may be applied. KARS uses representative sampling to track its index, which is reconstituted and rebalanced quarterly. Prior to June 16, 2021, the fund tracked the Solactive Electric Vehicles and Future Mobility Index.","The investment seeks to provide investment results that correspond to the price and yield performance of the Bloomberg Electric Vehicles Index. The fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is designed to track the equity market performance of companies engaged in the production of electric vehicles or their components or in other initiatives that may change the future of mobility, as determined by index provider."
PSCU,Invesco S&P SmallCap Utilities & Communication Services ETF,"The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC compiles, maintains and calculates the index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the utilities and communication services sectors, as defined by the Global Industry Classification Standard. The fund is non-diversified.","The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC compiles, maintains and calculates the index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the utilities and communication services sectors, as defined by the Global Industry Classification Standard. The fund is non-diversified.","PSCU tracks a market-cap-weighted index of small-cap US utilities and telecom services companies, selected from the S&P small-cap 600 Index universe.

PSCU delivers concentrated exposure to small-cap utilities and telecommunication services. Its portfolio thus differs markedly from the broader utilities universe, even beyond the obvious size tilt. PSCU typically overweights small natural gas utilities and underweights electric utilities, which are dominated by large-caps. It also includes telecoms, which our all-cap benchmark excludes. The fund typically holds just a handful of names, and offers some of the segments most concentrated exposure all in small-caps of course. For these reasons, PSCUs performance has differed materially from those of the typical large-cap-dominated utility ETFs.","The investment seeks to track the investment results (before fees and expenses) of the S&P SmallCap 600® Capped Utilities & Communication Services Index. The fund generally will invest at least 90% of its total assets in the securities that comprise the index. Strictly in accordance with its guidelines and mandated procedures, S&P Dow Jones Indices, LLC compiles, maintains and calculates the index, which is designed to measure the performance of securities of small-capitalization U.S. companies in the utilities and communication services sectors, as defined by the Global Industry Classification Standard. The fund is non-diversified."
MAXI,Simplify Bitcoin Strategy PLUS Income ETF,"The fund is an actively managed exchange-traded fund (an ""ETF""). The fund's adviser seeks to achieve its investment objective by using three strategies: (1) a Bitcoin futures strategy, (2) an income strategy, and (3) an option overlay strategy. Even though the adviser employs three strategies, the fund's portfolio is composed primarily of income producing securities. It is non-diversified.","The fund is an actively managed exchange-traded fund (an “ETF”). The fund’s adviser seeks to achieve its investment objective by using three strategies: (1) a Bitcoin strategy, (2) an income strategy, and (3) an option overlay strategy. Under normal market conditions, the adviser selects investments in Bitcoin related instruments so that the total value of economic Bitcoin exposure is approximately 50% to 200% of the net assets of the fund. It is non-diversified.","MAXI pursues three distinct strategies: long exposure to Bitcoin futures, collateral management via short-term debt securities, and income generation through active option overlay strategies. The funds adviser allocates the total economic value of Bitcoin exposure to be 100% of the funds net assets. A Cayman Island subsidiary is used to hold Bitcoin futures. High-quality, short-term US Treasury securities, or similar ETF exposure, serves as collateral for the futures positions. Reverse repurchase agreements may be entered into to potentially increase income. In addition, up to 20% of the funds assets will be used in option overlay strategies. The core of the option strategies consists of writing exchange-traded put and call option spreads on securities, index futures, or ETFs that the funds adviser believes to be sufficiently correlated to Bitcoin futures. Generally, the option spreads selected are close to expiration and positions are actively traded.","The investment seeks income and capital appreciation. The fund is an actively managed exchange-traded fund (an “ETF”). The fund’s adviser seeks to achieve its investment objective by using three strategies: (1) a Bitcoin strategy, (2) an income strategy, and (3) an option overlay strategy. Under normal market conditions, the adviser selects investments in Bitcoin related instruments so that the total value of economic Bitcoin exposure is approximately 50% to 200% of the net assets of the fund. It is non-diversified."
VIAAX,Vanguard International Dividend Appreciation Index Fund Admiral Shares,"The index focuses on high-quality companies located in developed and emerging markets, excluding the U.S., that have both the ability and the commitment to grow their dividends over time. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the collection of securities that make up the index, holding each stock in approximately the same proportion as its weighting in the index.","The index focuses on common stocks of high-quality companies located in developed and emerging markets, excluding the U.S., that have both the ability and the commitment to grow their dividends over time. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the collection of securities that make up the index, holding each stock in approximately the same proportion as its weighting in the index.",,"The investment seeks to track the performance of S&P Global Ex-U.S. Dividend Growers Index that measures the investment return of non-U.S. companies that have a history of increasing dividends. The index focuses on common stocks of high-quality companies located in developed and emerging markets, excluding the U.S., that have both the ability and the commitment to grow their dividends over time. The manager attempts to replicate the target index by investing all, or substantially all, of its assets in the collection of securities that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
AIRR,First Trust RBA American Industrial RenaissanceTM ETF,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors.,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors.,"AIRR tracks a multifactor-selected index of equities that can benefit from potential regain in market share of US industrial and community banking sector.

AIRR is passively managed to select large- and midcap US companies from the Russel 2500 with the following industries: Commercial Services & Supplies, Construction & Engineering, Electrical Equipment, Machinery, and Banks. Firms must also have a positive 12-months forward earnings consensus estimate to be considered in the index. AIRR excludes community banks outside traditional mid-western manufacturing hubs, like Pennsylvania, Wisconsin, Michigan, Ohio, Illinois, Indiana and Iowa. Firms with non-US sales of more than 25% are also excluded. The index is weighted using proprietary portfolio optimization method and ensures that Banks will have a 10% sector cap and issuers will not exceed a 4% weight. The Index is reconstituted and rebalanced quarterly.","The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an index called the Richard Bernstein Advisors American Industrial Renaissance ® Index (the ""index""). The fund will normally invest at least 90% of its net assets (including investment borrowings) in the equity securities that comprise the index. The index is designed to measure the performance of small and mid cap U.S. companies in the industrial and community banking sectors."
QABA,First Trust NASDAQ ABA Community Bank Index Fund,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is designed to track the performance of small, mid and large capitalization companies that comprise the community banking industry.","The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to track the performance of small, mid and large capitalization companies that comprise the community banking industry.","QABA tracks an index of NASDAQ-listed US banks and thrifts while deliberately excluding the 50 largest based on asset size, according to Federal Deposit Insurance Corporation (FDIC) reports. QABA also excludes banks with an international specialization (assets greater than USD 10 billion and more than 25% of total assets in non-US offices) and banks with a credit card specialization (i.e. banks with credit card loans plus securitized receivables in excess of 50% of total assets plus securitized receivables). The result is an ETF that uniquely targets true community banks, avoiding the mega-money centers that tend to dominate this segment. The index is market-cap-weighted and undergoes quarterly rebalance and semi-annual reconstitution, subject to certain caps. The maximum weight of an issuer is capped at 25% and issuers weighting more than 5% in aggregate should not exceed 50% of the entire portfolio.","The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the NASDAQ OMX® ABA Community Bank TM Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is designed to track the performance of small, mid and large capitalization companies that comprise the community banking industry."
STXM,Strive Mid-Cap ETF,"The index measures the performance of the mid-capitalization sector in the U.S. equity market as determined by Bloomberg. Under normal circumstances, substantially all, but at least 80%, of the fund’s total assets will be invested in mid-capitalization companies.","The index measures the performance of the mid-capitalization sector in the U.S. equity market as determined by Bloomberg. Under normal circumstances, substantially all, but at least 80%, of the fund’s total assets will be invested in mid-capitalization companies.","STXM tracks an index of 400 US mid-cap stocks selected and weighted based on market capitalization.

STXM provides exposure to the US mid-cap space. Starting with a broad, total market universe of 1500 US stocks, the index selects securities ranked 501 to 900 by market capitalization. Eligible securities must be listed on a US exchange and have a free float of at least 10% of its total shares outstanding. The index includes common stock and real estate investment trusts. Selected securities are weighted by market capitalization. The fund intends to utilize a replication strategy, which means it will invest all of its assets in the securities comprising the index. However, the adviser may use a sampling strategy if it is determined to be in the best interest of shareholders. The index rebalances semi-annually in January and July.","The investment seeks to track the total return performance, before fees and expenses, of the Bloomberg US 400 Index. The index measures the performance of the mid-capitalization sector in the U.S. equity market as determined by Bloomberg. Under normal circumstances, substantially all, but at least 80%, of the fund’s total assets will be invested in mid-capitalization companies."
FXR,First Trust Industrials/Producer Durables AlphaDEX Fund,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the industrials and producer durables sectors that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the industrials and producer durables sectors that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.,"FXR tracks an index of large- and mid-cap US industrial firms. The underlying index uses multi-factor selection and tiered equal-weighting.

FXR uses a quant-based model to select industrial stocks it believes will outperform the broad industrials sector. The funds tiered equal-weighting scheme tilts the fund toward mid-cap companies. Aside from considerably less exposure to some of the segment giants, FXR also has pronounced sector bets. Overall, the fund offers a smart beta approach to the US industrials space, instead of providing market-like exposure. The index is reconstituted and rebalanced on a quarterly basis.",The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the StrataQuant® Industrials Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the index. The index is a modified equal-dollar weighted index to objectively identify and select stocks from the Russell 1000® Index in the industrials and producer durables sectors that may generate positive alpha relative to traditional passive-style indices through the use of the AlphaDEX® selection methodology.
LVUS,Hartford Multifactor Low Volatility US Equity ETF,"The investment seeks to provide investment results that, before fees and expenses, correspond to the total return performance of the Hartford Multifactor Low Volatility US Equity Index. The fund generally invests at least 80% of its assets in the equity securities that are components of the index. The index is designed to outperform a U.S. capitalization-weighted universe with up to 25% less volatility compared to that of the U.S. capitalization-weighted universe over a complete market cycle through the index construction process.","The investment seeks to provide investment results that, before fees and expenses, correspond to the total return performance of the Hartford Multifactor Low Volatility US Equity Index.
 The fund generally invests at least 80% of its assets in the equity securities that are components of the index. The index is designed to outperform a U.S. capitalization-weighted universe with up to 25% less volatility compared to that of the U.S. capitalization-weighted universe over a complete market cycle through the index construction process.",,
BULD,Pacer BlueStar Engineering the Future ETF,"A rules-based exchange traded fund (ETF) that aims to offer investors exposure to globally listed companies and depositary receipts that generate at least 50% of their revenues from robotics and manufacturing automation, 3D printing or computer aided design.","The index is a rules-based index that consists of globally-listed stocks and depositary receipts of companies that derive at least 50% of their revenues from Robotics and 3D Printing Companies, as determined by the index provider. The fund adviser will generally use a “replication” strategy to achieve its investment objective, meaning it will invest in all of the component securities of the index. The fund is non-diversified.","BULD tracks a modified market cap-weighted index of equities that provides global exposure to robotics and 3D printing.

BULD is passively managed to hold globally-listed stocks and depositary receipts of companies enabling the Fourth Industrial Revolution, particularly robotics and 3D printing. The index includes firms that derive at least 50% revenue from (i) robotics & manufacturing automation equipment, (ii) computer aided design (CAD) software, or (iii) 3D printing centers, hardware, software, and materials. The index selects at least 25 securities in the first sub-industry and at least 10 each in the other two sub-industries. The resulting portfolio is weighted in tiers, with robotics & manufacturing automation allocated 50% of the portfolio weight, while CAD and 3D printing are each given 25%. Securities are weighted by market capitalization within each tier, subject to an 8% single security capping. The aggregate weight of constituents with at least 5% weight is capped at 50%. The index is reconstituted and rebalanced semi-annually","The investment seeks to track the total return performance, before fees and expenses, of the BlueStar Robotics and 3D Printing Index (the “index”). The index is a rules-based index that consists of globally-listed stocks and depositary receipts of companies that derive at least 50% of their revenues from Robotics and 3D Printing Companies, as determined by the index provider. The fund adviser will generally use a “replication” strategy to achieve its investment objective, meaning it will invest in all of the component securities of the index. The fund is non-diversified."
HDIV,QRAFT AI-Enhanced U.S. High Dividend ETF,"The fund is an actively-managed ETF that seeks to achieve its investment objective by utilizing an investment strategy enhanced by the use of artificial intelligence. The fund invests at least 80% of its net assets, plus the amounts of any borrowings for investment purposes, in dividend paying securities of U.S.-listed companies. A significant portion of the fund’s assets consisted of securities of companies in the consumer discretionary, consumer staples, and information technology sectors, although this may change from time to time. It is non-diversified.","The fund is an actively-managed ETF that seeks to achieve its investment objective by utilizing an investment strategy enhanced by the use of artificial intelligence. The fund invests at least 80% of its net assets, plus the amounts of any borrowings for investment purposes, in dividend paying securities of U.S.-listed companies. A significant portion of the fund’s assets consisted of securities of companies in the consumer staples sector, health care sector and information technology sector, although this may change from time to time. It is non-diversified.",,
RYU,Invesco S&P 500 Equal Weight Utilities ETF,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Utilities Plus Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the utilities sector, as defined according to the Global Industry Classification Standard (GICS).","The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Utilities Plus Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the utilities sector, as defined according to the Global Industry Classification Standard (""GICS"").","RSPU tracks an equal-weighted index of S&P 500 utilities companies.

RSPU tracks an equal-weighted index of large-cap utilities companies. Its equal-weighting scheme skews it away from a market-like portfolio. The fund also includes a significant allocation to telecom stocks, which are not included in some utilities fund. This is common, however, as many utilities ETFs combine the two sectors and telecom stocks may pay higher dividends than utilities. Still, investors looking for pure-play exposure should look elsewhere. The index is rebalanced on a quarterly basis. Prior to June 07, 2023, the fund traded under the ticker, RYU.",
GCAL,Goldman Sachs Dynamic California Municipal Income ETF,"The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in fixed income securities issued by or on behalf of the state of California and its political subdivisions, agencies and instrumentalities and other states, territories and possessions of the United States and the political subdivisions, agencies and instrumentalities thereof, the interest on which is exempt from regular federal income tax and California personal income tax. The fund is non-diversified.","The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in fixed income securities issued by or on behalf of the state of California and its political subdivisions, agencies and instrumentalities and other states, territories and possessions of the United States and the political subdivisions, agencies and instrumentalities thereof, the interest on which is exempt from regular federal income tax and California personal income tax. The fund is non-diversified.","GCAL seeks a high level of current income by investing in municipal securities exempt from federal and California state income tax. The actively managed fund mainly holds investment grade bonds with a two- to eight-year duration.

GCAL utilizes an active approach to a niche segment of the US muni bond space. The fund generally holds USD-denominated muni bonds issued by the state of California and its political subdivisions, seeking interest income exempt from federal and California state income tax. The fund may allocate its assets entirely to private activity bonds, whose interest may be a preference item for the federal alternative minimum tax. It may also get exposure through affiliated or unaffiliated investment companies, including other ETFs. Despite its focus on investment grade bonds, the fund can invest up to 30% in non-investment-grade bonds and may purchase securities of issuers in default. In constructing the portfolio, the fund adviser incorporates both a top-down approach and a bottom-up analysis. As part of its fundamental selection process, the adviser may integrate ESG factors alongside traditional fundamental metrics. Typically, the portfolio duration will range between two and eight years.","The investment seeks a high level of current income that is exempt from regular federal income tax and California personal income tax. The fund invests, under normal circumstances, at least 80% of its net assets plus any borrowings for investment purposes in fixed income securities issued by or on behalf of the state of California and its political subdivisions, agencies and instrumentalities and other states, territories and possessions of the United States and the political subdivisions, agencies and instrumentalities thereof, the interest on which is exempt from regular federal income tax and California personal income tax. The fund is non-diversified."
IXSE,WisdomTree India ex-State-Owned Enterprises Fund,"Normally, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a modified float-adjusted market cap weighted index that consists of companies incorporated and traded in India, excluding common stocks of ""state-owned enterprises."" The fund is non-diversified.","Normally, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a modified float-adjusted market cap weighted index that consists of companies incorporated and traded in India, excluding common stocks of ""state-owned enterprises."" The fund is non-diversified.","The security was delisted. The last day of trading on an exchange is October 20, 2023. The fund is closing. The last day of trading on an exchange is October 20, 2023. IXSE is designed around the premise that private corporations outperform firms controlled by governments. The fund aims to provide broad exposure to Indian companies, excluding state-owned enterprises (SOEs) that tend to dominate the telecommunications and transportation sectors. The fund defines an SOE as one with more than 20% government ownership. In addition, IXSE uses certain environmental, social and governance (ESG) criteria to filter securities. Holdings are market-cap-weighted with single security and sector weight caps at 10% and 30%, respectively. Although, the resulting portfolio may have some sector biases, loose guardrails prevent extreme departures from market-like exposure to any sector. The index is reconstituted and rebalanced annually.",
EUDV,ProShares MSCI Europe Dividend Growers ETF,"The fund will invest at least 80% of its total assets in component securities of the index. The index, constructed and maintained by MSCI, targets companies that are currently members of the MSCI Europe Index (""MSCI Europe"") and have increased dividend payments each year for at least 10 years.","The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index is designed to measure the performance of companies in the MSCI Europe index that have consistently increased dividends every year for at least 10 years. Under normal circumstances, the fund will invest at least 80% of its total assets in components of the index or in instruments with similar economic characteristics.","EUDV tracks an index of developed European companies with a history of stable dividend growth.

EUDVs selection universe starts with a broad index representing the equity market performance of developed Europe. The fund selects at least 25 firms with a history of consistently increasing cash dividends for at least 10 years. In order to avoid large risk concentration in a small number of holdings, the portfolio is constructed with equal weights, subject to sector and country weight caps of 30% and 50%, respectively. The dividend growth screen coupled with a small, equal-weighted portfolio will likely produce exposure tilts. The index is reconstituted annually and rebalanced quarterly.","The investment seeks investment results, before fees and expenses, that track the performance of the MSCI Europe Dividend Masters Index (the ""index""). The fund invests in financial instruments that ProShare Advisors believes, in combination, should track the performance of the index. The index is designed to measure the performance of companies in the MSCI Europe index that have consistently increased dividends every year for at least 10 years. Under normal circumstances, the fund will invest at least 80% of its total assets in components of the index or in instruments with similar economic characteristics."
RLY,SPDR SSGA Multi-Asset Real Return ETF,"The SPDR SSGA Multi-Asset Real Return ETF seeks to achieve real return consisting of capital appreciation and current income. Seeks to provide exposure to domestic and international inflation protected securities, real estate securities, commodities, infrastructure companies, and companies in natural resources and/or commodity businesses which may include agriculture, energy, and metals and mining companies as well as industrial, and utility companies.The investment process relies on a proprietary quantitative model as well as fundamental views regarding factors that may not be captured by the quantitative model","Under normal circumstances, the Adviser invests at least 80% of the net assets of the fund among ETPs that provide exposure to the following primary asset classes: (i) inflation protected securities issued by the United States government; (ii) domestic and international real estate securities; (iii) commodities; (iv) publicly-traded domestic and international infrastructure companies; and (iv) publicly-traded companies in natural resources and/or commodities businesses.","RLY is an actively-managed fund that attempts to hedge against inflation by investing in funds with exposure to real estate, commodities, TIPS and natural resources companies.

RLY aims to achieve real return consisting of capital appreciation and current income through a fund-of funds structure. The funds active manager considers real return to be a rate of return above the rate of inflation. RLY uses a proprietary quantitative models as well the fund advisers fundamental views on qualitative factors to allocate exposure across asset classes via ETFs, including equities from developed and emerging markets, government bonds, TIPs, commodities (through the use of derivatives) and REITs. In the fund advisers view, the funds allocation among these asset classes should be consistent with its stated goal.","The investment seeks to achieve real return consisting of capital appreciation and current income. Under normal circumstances, the Adviser invests at least 80% of the net assets of the fund among ETPs that provide exposure to the following primary asset classes: (i) inflation protected securities issued by the United States government; (ii) domestic and international real estate securities; (iii) commodities; (iv) publicly-traded domestic and international infrastructure companies; and (iv) publicly-traded companies in natural resources and/or commodities businesses."
WRND,IQ Global Equity R&D Leaders ETF,"The underlying index seeks to provide exposure to innovative companies by investing in the equities of companies that have high research and development (“R&D”) spending around the world. The fund invests, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The fund is non-diversified.","The underlying index seeks to provide exposure to innovative companies by investing in the equities of companies that have high research and development (“R&D”) spending around the world. The fund invests, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The fund is non-diversified.","WRND tracks an index that seeks to provide exposure to global large- and mid-cap companies that have high research and development spending, and attractive future growth potential.

WRND seeks exposure to innovative companies that are consistently reinvesting into their research and development activities, whilst exhibiting strong growth potential. It focuses on large- and mid-cap companies around the world, with at least 40% of its net assets invested in foreign countries. Selection begins with the components of the FTSE All-World Index, the parent index, which contains 200 constituents. These securities are those with the highest reported one-year dollar amount of research and development spending, intended for the innovation and expansion of present capabilities for revenue increase. Constituent weighting is also based on the same sense, highlighting actual fundamentals instead of future estimates, with individual capping at 5%. The index is reconstituted and rebalanced quarterly. WRND launched alongside LRND and MRND to round out IndexIQs growth ETF equity suite. Prior to Aug. 28, 2024, the fund name was branded under IndexIQ.","The investment seeks results that correspond (before fees and expenses) generally to the price and yield performance of its underlying index, the NYLI Global Equity R&D Leaders Index. The underlying index seeks to provide exposure to innovative companies by investing in the equities of companies that have high research and development (“R&D”) spending around the world. The fund invests, under normal circumstances, at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the investments included in its underlying index. The fund is non-diversified."
ISMD,Inspire Small/Mid Cap Impact ESG ETF,"The fund generally invests at least 80% of its total assets in the component securities of the index. The index provider selects securities from a universe of publicly traded, domestic small and mid capitalization equity securities of companies with market capitalizations between $1 billion and $3.5 billion and which have an Inspire Impact Score® of zero or higher.","The fund generally invests at least 80% of its total assets in the component securities of the index. The index provider selects securities from a universe of publicly traded, domestic small and mid capitalization equity securities of companies which have an Inspire Impact Score™ of zero or higher.","ISMD tracks an equal-weighted index of 500 small- and mid-cap US stocks that are screened for alignment with biblical values defined by the Issuer.

ISMD follows a principles-based, biblically responsible investing philosophy, screening for firms with products and policies aligned to evangelical Christian values. It screens out companies with any degree of involvement in certain activities: abortion, gambling, alcohol, human rights violations, and LGBT lifestyle. ISMD scores remaining firms by how well they align with its values, considering factors such as family time for employees, community philanthropy, environmental protection, or products that treat disease or support education. The 500 highest-scoring firms receive equal weights in the fund. The fund employs an equal-weighting scheme, which may cause a tilt toward smaller firms. The index is rebalanced quarterly. Between March 30 and August 19, 2022, the fund's name included a reference to 'ESG'. The name changes did not impact the fund strategy.","The investment seeks to replicate investment results that generally correspond to the performance of the Inspire Small/Mid Cap Impact Equal Weight Index. The fund generally invests at least 80% of its total assets in the component securities of the index. The index provider selects securities from a universe of publicly traded, domestic small and mid capitalization equity securities of companies which have an Inspire Impact Score™ of zero or higher."
KOCG,FIS Knights of Columbus Global Belief ETF,"Under normal circumstances, the fund invests at least 80% of its assets in equity securities, including common stock and American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") of international and domestic companies. It may invest in companies of any market capitalization located anywhere in the world, including companies located in emerging markets. The fund will focus its investments in all capitalization companies. It seeks to outperform the FTSE All-World Index.","Under normal circumstances, the fund invests at least 80% of its assets in equity securities, including common stock and American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") of international and domestic companies. It may invest in companies of any market capitalization located anywhere in the world, including companies located in emerging markets. The fund will focus its investments in all capitalization companies.","KOCG is an actively managed fund that invests in companies of any size across the world that meet certain Catholic investment guidelines.

KOCG provides exposure to companies from both developed and emerging markets that meet the United States Conference of Catholic Bishops Socially Responsible Investing Guidelines. The fund combines quantitative and qualitative analyses to select companies of any size with above-average investment potential. Stocks are then ranked using models that incorporate multiple fundamental factors. Highly ranked securities are evaluated based on fundamental data and macroeconomic considerations, while managing exposures to sectors and regions to ensure diversification. The fund excludes companies perceived to be in conflict with USCCB guidelines. As an actively managed fund, the portfolio manager can analyze market and financial data to make buy, sell, and hold decisions at their discretion.","The investment seeks income and long-term growth of capital. Under normal circumstances, the fund invests at least 80% of its assets in equity securities, including common stock and American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") of international and domestic companies. It may invest in companies of any market capitalization located anywhere in the world, including companies located in emerging markets. The fund will focus its investments in all capitalization companies."
MSOX,Advisorshares Msos 2x Daily ETF,"The fund will enter into one or more swap agreements intended to produce economically-leveraged investment results relative to the returns of the US Cannabis ETF. The US Cannabis ETF primarily invests in exchange-listed equity securities, including common and preferred stock, of mid- and small-capitalization companies, and in total return swaps intended to provide exposure to such companies. The fund is non-diversified.","The fund will enter into one or more swap agreements intended to produce economically-leveraged investment results relative to the returns of the US Cannabis ETF. The US Cannabis ETF primarily invests in exchange-listed equity securities, including common and preferred stock, of mid- and small-capitalization companies, and in total return swaps intended to provide exposure to such companies. The fund is non-diversified.","MSOX provides 2x leveraged exposure to the daily performance of MSOS, an affiliated exchange-traded fund that concentrates on mid- and small-cap US companies engaged in the cannabis and hemp industries. In addition to stocks, the underlying fund also uses total return swap contracts to gain such exposure. MSOX will enter into one or more swap agreements intended to produce leveraged investment results relative to the returns of MSOS. To achieve maximum results, the fund may also hold money market instruments or other cash equivalents as collateral. As a geared product with daily resets, MSOX is designed as a short-term trading tool and not a long-term investment vehicle. Long-term returns could materially differ from those of the underlying fund due to daily compounding. Investors also need to be aware of the ongoing regulatory risks on cannabis. Prior to Nov. 1, 2024 the fund name was MSOS 2x Daily ETF.","The investment seeks daily investment results that, before fees and expenses, correspond to approximately two times (2x) the daily total return of the U.S. Cannabis ETF. The fund will enter into one or more swap agreements intended to produce economically-leveraged investment results relative to the returns of the US Cannabis ETF. The US Cannabis ETF primarily invests in exchange-listed equity securities, including common and preferred stock, of mid- and small-capitalization companies, and in total return swaps intended to provide exposure to such companies. The fund is non-diversified."
