symbol,name,description_yahoo,description_etfcom,description_morningstar,merged_description,description_original
CHAT,Tidal Trust II - Roundhill Generative AI & Technology ETF,"The fund is an actively managed exchange-traded fund (ETF) that seeks to achieve its investment objective by investing in the equity securities of exchange-listed companies globally, including those in emerging markets, which are involved in the investment theme of artificial intelligence (AI), focused on generative AI and related technologies. Under normal circumstances, the fund will invest at least 80% of its net assets, plus borrowings for investment purposes, in equity securities of AI and Technology Companies. The fund is non-diversified.","CHAT is an actively managed fund that invests in 25 to 50 companies around the world that are involved in generative artificial intelligence and other related technologies.

CHAT targets companies globally that are positioned to benefit from the growth of generative AI and related technologies. Generative AI is a part of the broader AI industry that uses a type of deep learning called generative adversarial networks to produce original content in response to user prompts. Eligible companies must derive at least 50% of their revenue from AI and tech-related industries such as software, semiconductors, cloud and network infrastructures, interactive media, and diversified consumer services. The sub-adviser utilizes a proprietary methodology to score each companys thematic relevancy. It consists of a transcript score determined using a keyword analysis on company filings to identify references to AI-related terms and a sector score based on the materiality of generative AI to the firms expected financial performance. The narrow portfolio holds 25 to 50 stocks weighted by the aggregate exposure score, subject to market-cap and liquidity constraints.","The investment seeks long-term capital appreciation. The fund is an actively managed exchange-traded fund (ETF) that seeks to achieve its investment objective by investing in the equity securities of exchange-listed companies globally, including those in emerging markets, which are involved in the investment theme of artificial intelligence (AI), focused on generative AI and related technologies. Under normal circumstances, the fund will invest at least 80% of its net assets, plus borrowings for investment purposes, in equity securities of AI and Technology Companies. The fund is non-diversified.","The Tidal Trust II - Roundhill Generative AI & Technology ETF (CHAT) is an actively managed ETF seeking long-term capital appreciation by investing globally in equity securities of companies involved in artificial intelligence (AI), particularly focused on generative AI and related technologies. As a non-diversified fund, it targets a concentrated portfolio of 25 to 50 companies positioned to benefit from generative AI growth and normally invests at least 80% of its net assets in equity securities of AI and Technology Companies. Utilizing a proprietary methodology for thematic relevance, the fund selects companies that derive a significant portion of their revenue (at least 50%) from AI/tech-related industries like software, semiconductors, or cloud infrastructure, weighting holdings by their aggregate thematic exposure score.","The fund is an actively managed exchange-traded fund (ETF) that seeks to achieve its investment objective by investing in the equity securities of exchange-listed companies globally, including those in emerging markets, which are involved in the investment theme of artificial intelligence (AI), focused on generative AI and related technologies. Under normal circumstances, the fund will invest at least 80% of its net assets, plus borrowings for investment purposes, in equity securities of AI and Technology Companies. The fund is non-diversified."
CIBR,First Trust Nasdaq® Cybersecurity UCITS ETF,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes securities of companies classified as ""cyber security"" companies by CTA. The fund is non-diversified.","CIBR is a specialized fund focusing on cybersecurity companies as classified by the Consumer Technology Association(CTA), which means it holds primarily software and networking companies, but also branches out from the tech sector into more diversified industries like aerospace & defense. This slightly expanded focus is the major distinction between CIBR and other similar funds, most of which have small, tech-dominated portfolios. It weights holdings by liquidity, which makes sense given the funds small-cap exposure. It also caps the weighting of the securities of the five most liquid companies at 6% each, while the securities of the remaining companies are capped at 3%. The index is rebalanced quarterly.","The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Nasdaq CTA Cybersecurity Index TM (the ""index""). The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes securities of companies classified as ""cyber security"" companies by CTA. The fund is non-diversified.","The First Trust Nasdaq® Cybersecurity UCITS ETF seeks investment results corresponding to the Nasdaq CTA Cybersecurity Index by normally investing at least 90% of its net assets in the common stocks and depositary receipts comprising the index. This non-diversified fund focuses on companies classified as ""cyber security"" by the CTA, including primarily software and networking firms but also expanding to sectors like aerospace & defense, a broader scope distinguishing it from more tech-dominated peers. The index weights holdings by liquidity with caps of 6% for the top five securities and 3% for others, and is rebalanced quarterly.","The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index includes securities of companies classified as ""cyber security"" companies by CTA. The fund is non-diversified."
KSTR,KraneShares SSE STAR Market 50 Index ETF,"Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index includes the stocks of the top 50 companies by free-float market capitalizations listed on the SSE Science and Technology Innovation Board (the “STAR Board”). It is non-diversified.","KSTR tracks an index of the top 50 companies by market-cap that are listed on the Shanghai Stock Exchange (SSE) Science and Technology Innovation Board.

KSTR focuses on Chinese science and technology companies mainly from high-tech and strategic emerging industries on the SSE Science and Technology Innovation Board, including next-generation IT, biomedicine, high-end equipment and other similar industries. Components are selected and weighted based on market capitalization and liquidity screens, subject to capping (each constituent is capped at 10% and the total weight of the top 5 constituents is capped at 40%). The index is adjusted and rebalanced quarterly, and includes access to A-shares as well as other share classes.","The investment seeks to provide investment results that, before fees and expenses, correspond generally to the price and yield performance of the SSE Science and Technology Innovation Board 50 Index. Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index includes the stocks of the top 50 companies by free-float market capitalizations listed on the SSE Science and Technology Innovation Board (the “STAR Board”). It is non-diversified.","The KraneShares SSE STAR Market 50 Index ETF (KSTR) seeks to provide investment results that correspond generally to the performance of the SSE Science and Technology Innovation Board 50 Index. This index tracks the top 50 companies by free-float market capitalization listed on the SSE Science and Technology Innovation Board (STAR Board), primarily focusing on Chinese high-tech and strategic emerging industries such as IT, biomedicine, and high-end equipment. Under normal circumstances, the fund invests at least 80% of its net assets in instruments of this index or those with similar economic characteristics. KSTR is non-diversified, tracking an index whose components are selected and weighted based on market capitalization and liquidity, subject to capping rules (10% for individual constituents, 40% for the top five combined) and quarterly rebalancing, offering access to A-shares and other share classes.","Under normal circumstances, the fund will invest at least 80% of its net assets (plus borrowings for investment purposes) in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The underlying index includes the stocks of the top 50 companies by free-float market capitalizations listed on the SSE Science and Technology Innovation Board (the “STAR Board”). It is non-diversified."
PPI,AXS Astoria Inflation Sensitive ETF,"The fund is an actively managed exchange-traded fund (“ETF”) that, under normal market conditions, invests at least 80% of its net assets in investments providing significant exposure to real assets (“real asset-related investments”). It considers an equity security of a company to be a real asset-related investment if it either (i) derives at least 50% of its revenues or profits from, or (ii) has at least 50% of its assets committed to, real assets. The fund is non-diversified.","PPI is an actively managed asset allocation fund seeking long-term capital appreciation by holding real asset-like investments expected to benefit from rising costs of goods and services.

PPI bets on its active management team to invest in real assets anticipated to benefit from a sustained inflationary environment. Real asset-related investments include various asset classes, such as equities in the energy, financials, industrial, and materials sectors, global inflation-protected debt securities, and global real estate-related securities, as well as other ETFs with exposure to commodities or fixed income. Equity investments are expected to be 50-60 large- to midcap companies, including MLPs and royalty trust units. Selected commodities are those perceived to benefit from higher demand, elevated global growth, or a shortage of supply such as energy, metals, cattle, coffee, and corn. The portfolio may also hold investment-grade fixed income securities of any maturity, including Treasury inflation-protected securities. Prior to Oct. 15, 2024, the fund was called Astoria Inflation Sensitive ETF. Prior to March 12, 2025, the fund was named AXS Astoria Real Assets ETF.","The investment seeks long-term capital appreciation in inflation-adjusted terms. The fund is an actively managed exchange-traded fund (“ETF”) that, under normal market conditions, invests at least 80% of its net assets in investments providing significant exposure to real assets (“real asset-related investments”). It considers an equity security of a company to be a real asset-related investment if it either (i) derives at least 50% of its revenues or profits from, or (ii) has at least 50% of its assets committed to, real assets. The fund is non-diversified.","The AXS Astoria Inflation Sensitive ETF is an actively managed fund seeking long-term capital appreciation, aiming to benefit from rising costs and inflation by investing in real asset-related investments. Under normal market conditions, the fund allocates at least 80% of its net assets to these investments, which provide significant exposure to real assets. This can include equities in inflation-sensitive sectors like energy, financials, industrial, and materials, global inflation-protected debt securities, global real estate-related securities, and exposure to commodities and fixed income through investments in other ETFs. The fund is non-diversified.","The fund is an actively managed exchange-traded fund (“ETF”) that seeks to invests principally in securities across multiple asset classes which have the potential to benefit from increases in the rate of rising costs of goods and services (i.e., inflation). These investments are expected to include equity securities of companies engaged in the energy, financials, industrial, and materials sectors, as well as investments in other ETFs that directly or indirectly invest in commodities or fixed income securities. The fund is non-diversified."
TLEH,FlexShares Currency Hedged Morningstar EM Factor Tilt Index Fund,"The investment seeks investment results that correspond to the price and yield performance, before fees and expenses, of the MorningstarÂ® Emerging Markets Factor Tilt Hedged IndexSM.
 The index (i) reflects the performance of a selection of companies that, in aggregate, possess greater exposure to size and value factors relative to the Morningstar Emerging Markets Index, and (ii) hedges the currency-related risk of the securities included in the index against the U.S. dollar on a monthly basis. The fund invests at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The fund is non-diversified.",,,"Based on the provided description (C), the FlexShares Currency Hedged Morningstar EM Factor Tilt Index Fund aims to track the Morningstar Emerging Markets Factor Tilt Hedged Index. This index focuses on emerging market companies selected for their increased exposure to size and value factors relative to the broader market, while also mitigating currency risk by hedging exposure against the U.S. dollar on a monthly basis. The fund invests at least 80% of its assets in the securities included in this index or related ADRs and GDRs, and it is considered non-diversified.","The investment seeks investment results that correspond to the price and yield performance, before fees and expenses, of the MorningstarÂ® Emerging Markets Factor Tilt Hedged IndexSM. The index (i) reflects the performance of a selection of companies that, in aggregate, possess greater exposure to size and value factors relative to the Morningstar Emerging Markets Index, and (ii) hedges the currency-related risk of the securities included in the index against the U.S. dollar on a monthly basis. The fund invests at least 80% of its total assets in the securities of the index and in ADRs and GDRs based on the securities in the index. The fund is non-diversified."
ICOP,iShares Copper and Metals Mining ETF,"The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.","ICOP holds a concentrated basket of stocks involved in copper ore mining. The fund selects its stocks based on a 3-tier selection process. Tier 1 aims to select 50 stocks of companies with more than 50% of their revenue derived from copper ore mining. In the occasion that less than 50 are eligible, Tier 2 organizations are considered. Tier 2 companies are those with more than 25% but less than 50% of their revenues tied with the copper ore mining industry. These companies are ranked by revenue exposure to the industry until the goal of 50 stocks are met. Tier 3 comes in if there are still fewer than 50 composing the index and they are companies on top of the copper mining industry in terms of market share. The index is market-cap weighted. Each Tier group is capped, with Tier 3 constituents capped at a 50% maximum aggregate weight. Individual securities are also capped at 8%, with those having more than 4.5% weight limited to an accumulated 45%. The Index is rebalanced quarterly.","The investment seeks to track the investment results of the STOXX Global Copper and Metals Mining Index composed of U.S. and non-U.S. equities of companies primarily engaged in copper and metal ore mining. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.","The iShares Copper and Metals Mining ETF seeks to track the investment results of the STOXX Global Copper and Metals Mining Index, which includes U.S. and non-U.S. equities of companies primarily engaged in copper and metal ore mining. The index constructs a concentrated portfolio, typically targeting around 50 stocks, using a multi-tier selection process based on companies' revenue exposure to copper ore mining and, secondarily, market share. It is market-cap weighted, subject to individual security caps (8%) and aggregated caps for larger holdings (45% for those over 4.5%), with a specific 50% cap for constituents from the lowest selection tier. The fund generally invests at least 80% of its assets in the index's component securities or similar investments, with up to 20% potentially in derivatives or cash. The index is rebalanced quarterly, and the fund is classified as non-diversified.","iShares Trust - iShares Copper and Metals Mining ETF is an exchange traded fund launched by BlackRock, Inc. The fund is managed by BlackRock Fund Advisors. It invests in public equity markets of global region. The fund invests in stocks of companies operating across materials, metals and mining, copper, copper ores, diversified metals and mining, diversified metal ores, precious metals and minerals, precious metal ores sectors. The fund invests in growth and value stocks of companies across diversified market capitalization. It seeks to track the performance of the STOXX Global Copper and Metals Mining Index, by using representative sampling technique. iShares Trust - iShares Copper and Metals Mining ETF is domiciled in the United States."
EFRA,iShares Environmental Infrastructure and Industrials ETF,"The fund seeks to track the investment results of the index, which has been developed by FTSE International Limited (the “index provider” or “FTSE”). It is non-diversified.","EFRA tracks an index of developed market companies that provide infrastructure and industrials solutions. Eligible companies must derive at least 40% of their revenues from sectors with relevance to: (1) energy efficiency and emissions mitigation, (2) pollution reduction, or (3) land and resource optimization. Companies involved in the business of tobacco, weapons and firearms, or thermal-based energy, as well as those with controversies in human rights, labor, environment, and anti-corruption are excluded. Eligible firms must also have $100 million free float adjusted market capitalization or more than $1 million average daily trading volume over the prior sixty trading-day period. The Index Provider assesses and measures a companys green revenues based on company disclosures or company-specific estimates. Holdings are weighted based on free float market-cap, with a cap of 6% per issuer.","The investment seeks to track the investment results of the FTSE Green Revenues Select Infrastructure and Industrials Index composed of U.S. and non-U.S. companies that provide infrastructure and industrials solutions aiming to support energy efficiency and emissions mitigation, pollution reduction or land and resource optimization. The fund seeks to track the investment results of the index, which has been developed by FTSE International Limited (the “index provider” or “FTSE”). It is non-diversified.","The iShares Environmental Infrastructure and Industrials ETF (EFRA) seeks to track the FTSE Green Revenues Select Infrastructure and Industrials Index, which is composed of U.S. and non-U.S. developed market companies providing infrastructure and industrials solutions. The index focuses on firms that derive at least 40% of their revenue from activities related to energy efficiency and emissions mitigation, pollution reduction, or land and resource optimization. Companies involved in tobacco, weapons, thermal energy, or with significant controversies are excluded. Eligible holdings must also meet minimum market capitalization or trading volume thresholds and are weighted by free float market capitalization with an individual issuer cap of 6%. The ETF is non-diversified.","The fund seeks to track the investment results of the index, which has been developed by FTSE International Limited (the “index provider” or “FTSE”). It is non-diversified."
XLI,The Industrial Select Sector SPDR Fund,"Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified.","XLI tracks a market cap-weighted index of industrial-sector stocks drawn from the S&P 500.

XLI provides investors with broad US industrial exposure. The fund selects from the S&P 500, limiting its small- and mid-cap exposure and producing a more concentrated portfolio. Because smaller firms make up only a fraction of the industrial sector, the effects of the exclusion are mild. Included companies are those from the industry groups of industrial sector, such as capital goods, commercial & professional services, and transportation. Holdings are weighted by market cap, subject to a capping methodology that ensures no single security exceeds 25% at each quarterly rebalance.","The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Industrial Select Sector Index. Under normal market conditions, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Industrial companies by the Global Industry Classification Standard, including securities of companies from the following industries: aerospace and defense; industrial conglomerates; marine transportation. It is non-diversified.","The Industrial Select Sector SPDR Fund (XLI) seeks investment results corresponding generally to the price and yield of the Industrial Select Sector Index. Under normal market conditions, the fund invests substantially all, but at least 95%, of its total assets in the securities comprising this index. The index is a market cap-weighted benchmark of industrial-sector stocks selected from the S&P 500, providing broad exposure to larger US industrial companies based on the Global Industry Classification Standard (GICS). Included industries span areas such as aerospace and defense, industrial conglomerates, capital goods, commercial & professional services, and transportation. Holdings are weighted by market capitalization, subject to a capping methodology that ensures no single security exceeds 25% at quarterly rebalances. The fund is classified as non-diversified.","The Industrial Select Sector SPDR Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Industrial Select Sector Index (the “Index”).The Index seeks to provide an effective representation of the industrial sector of the S&P 500 Index.Seeks to provide precise exposure to companies in the following industries: aerospace and defense; industrial conglomerates; marine transportation; transportation infrastructure; machinery; ground transportation; air freight and logistics; commercial services and supplies; professional services; electrical equipment; construction and engineering; trading companies and distributors; passenger airlines; and building products.Allows investors to take strategic or tactical positions at a more targeted level than traditional style based investing."
FFTY,Innovator IBD 50 ETF,"The fund will normally invest at least 80% of its net assets (including investment borrowings) in securities that comprise the index. The IBD® 50 Index is a weekly, rules-based, computer-generated stock index compiled and published by Investor's Business Daily® (""IBD"" or the ""index provider"") that seeks to identify the current top 50 growth stocks.","FFTY tracks an index of 50 US-listed stocks with aggressive growth characteristics. Holdings are selected based on fundamental and technical rankings. The fund can toggle to 50% T-bills based on market technical signals.

FFTY picks 50 leading growth companies that trade on US exchanges, potentially including ADRs. After screening out securities with extreme recent price movements, the universe is ranked by a composite of 11 different fundamental and technical metrics. The top 50 stocks are weighted in tiers, with more weight given to higher-ranking companies. Components of the index are reviewed on a weekly basis. Based on market-wide technical signals, FFTY may substitute half of its equity portfolio with Treasury bills. The index will remain half equity, half T-bills until a reversal signal occurs. Its worth noting that the funds high-turnover strategy could lead to poor tracking and/or taxable capital gains payouts.","The investment seeks to track, before fees and expenses, the performance of the IBD® 50 Index (the ""index""). The fund will normally invest at least 80% of its net assets (including investment borrowings) in securities that comprise the index. The IBD® 50 Index is a weekly, rules-based, computer-generated stock index compiled and published by Investor's Business Daily® (""IBD"" or the ""index provider"") that seeks to identify the current top 50 growth stocks.","The Innovator IBD 50 ETF (FFTY) seeks to track the IBD® 50 Index, a weekly, rules-based index compiled by Investor's Business Daily to pinpoint the current top 50 growth stocks. This index identifies 50 leading US-listed growth companies, potentially including ADRs, selected using a composite of 11 fundamental and technical metrics, and weights them in tiers according to rank. A unique feature is the fund's ability to allocate up to 50% of its portfolio to Treasury bills based on market technical signals. Components are reviewed weekly, and the fund's high turnover strategy may lead to tracking differences or taxable capital gains.","The fund will normally invest at least 80% of its net assets (including investment borrowings) in securities that comprise the index. The IBD® 50 Index is a weekly, rules-based, computer-generated stock index compiled and published by Investor's Business Daily® (IBD or the index provider) that seeks to identify the current top 50 growth stocks."
HARD,Simplify Commodities Strategy No K-1 ETF,"The adviser seeks to achieve the fund’s investment objective by investing in commodity futures contracts. Under normal market conditions, the fund invests in a portfolio of futures contracts on commodities and commodity indices. The advisor attempts to capture the economic benefit derived from rising trends based on the price changes of the futures contracts.","HARD invests in commodity futures contracts expected to perform strongly during inflationary periods while still performing in typical market environments. The portfolio comprises futures contracts on hard commodities and commodity indices (crude, heating oil, natural gas, copper, gold, silver, corn, wheat, soybean, soybean oil, etc.). Using valuation and momentum signals, the adviser deploys forecasting models monthly to determine price trends and long/short positions. The fund takes a long position when experiencing a positive price trend but takes short positions during a negative trend. The fund expects to maintain a net long bias. To avoid scheduled K-1 payments, the fund does not directly invest in commodity futures contracts. Instead, it gains exposure by investing up to 25% of its assets in a wholly-owned Cayman Islands subsidiary. Thus, shareholders receive a Form 1099. The fund holds short-term US Treasury securities for direct investment or as collateral.","The investment seeks to provide long-term capital appreciation. The adviser seeks to achieve the fund’s investment objective by investing in commodity futures contracts. Under normal market conditions, the fund invests in a portfolio of futures contracts on commodities and commodity indices. The advisor attempts to capture the economic benefit derived from rising trends based on the price changes of the futures contracts.","Seeking long-term capital appreciation, the Simplify Commodities Strategy No K-1 ETF invests in commodity futures contracts and commodity indices, with a strategy designed to perform strongly during inflationary periods while still performing in typical market environments. The portfolio targets futures contracts across various hard commodities (including crude, gold, corn, etc.) and commodity indices. Using valuation and momentum signals through forecasting models, the adviser strategically takes long or short positions to capture economic benefits from price trends, aiming to capture benefits from rising trends while generally maintaining a net long bias. A unique feature is its structure designed to avoid K-1 tax forms; instead of directly investing in commodity futures, it gains exposure primarily by allocating assets (up to 25%) to a wholly-owned Cayman Islands subsidiary, resulting in shareholders receiving a Form 1099. The fund also holds short-term US Treasury securities for direct investment or as collateral.","The adviser seeks to achieve the fund’s investment objective by investing in commodity futures contracts. Under normal market conditions, the fund invests in a portfolio of futures contracts on commodities and commodity indices. The advisor attempts to capture the economic benefit derived from rising trends based on the price changes of the futures contracts."
HYUP,Xtrackers High Beta High Yield Bond ETF,"The fund will invest at least 80% of its total assets, (but typically far more) in component securities of the underlying index. The underlying index is designed to track the performance of the segment of the U.S. dollar denominated high yield corporate bond market that exhibits higher overall beta to the broader high yield corporate fixed income market.","HYUP tracks an index of USD-denominated high yield bonds with a high yield to worst.

HYUP provides exposure to a portion of the USD high-yield bond space that exhibits higher beta, which may appeal to investors who want a risk-on approach. The index calculates the median yield to worst for each sector in the USD high-yield space, and then selects all eligible securities yielding higher than their sectors median yield. The result is a selection of bonds with higher volatility, lower credit quality, and higher yield than the broader high-yield market. Issues must have less than 15 years to maturity. The underlying index is market-value weighted, with monthly rebalancing and reconstitution.","The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the Solactive USD High Yield Corporates Total Market High Beta Index (the ""underlying index""). The fund will invest at least 80% of its total assets, (but typically far more) in component securities of the underlying index. The underlying index is designed to track the performance of the segment of the U.S. dollar denominated high yield corporate bond market that exhibits higher overall beta to the broader high yield corporate fixed income market.","The Xtrackers High Beta High Yield Bond ETF (HYUP) seeks to track the performance of the Solactive USD High Yield Corporates Total Market High Beta Index by investing at least 80% of its assets in the index's components. This index targets USD-denominated high yield corporate bonds that exhibit higher overall beta compared to the broader high-yield market, aligning with a risk-on investment approach. Specifically, the index selects bonds yielding higher than their sector's median yield to worst, resulting in a portfolio characterized by higher yield, increased volatility, and generally lower credit quality relative to the broader high-yield universe. Included bonds must have less than 15 years to maturity, and the index is market-value weighted with monthly rebalancing and reconstitution.","The fund will invest at least 80% of its total assets, (but typically far more) in component securities of the underlying index. The underlying index is designed to track the performance of the segment of the U.S. dollar denominated high yield corporate bond market that exhibits higher overall beta to the broader high yield corporate fixed income market."
EPU,iShares MSCI Peru ETF,"The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. A significant portion of the index is represented by securities of companies in the financials and materials industries or sectors. Companies with economic exposure to and/or carry out the majority of their operations in Peru may include companies organized, listed, or with significant operations in developed countries. The fund is non-diversified.","EPU is passively managed to track market cap -weighted index that seeks to provide broad Peru equity exposure. Selection includes a minimum number of Peruvian securities and issuers before expanding exposure to those stocks with related exposure.

EPU offers adequate exposure to broad Peru equities, given the constraints as an emerging market and its diversification needs. The index targets a minimum of 25 securities and 20 issuers classified in Peru according to MSCIs country classification, together with companies headquartered or listed in Peru and have significant economic exposure to the country in terms of assets, revenues, or employee base. The fund holds a portfolio that meets the IRSs diversification requirements by applying the MSCI 25/50 weight capping methodology for Peruvian firms. Securities considered to be an affiliated firm are capped at 22.5%, with the aggregate of those with a weight greater than 4.5% capped at 45% weight of the portfolio. The portfolio will hold stocks of all capitalizations. A representative sampling indexing strategy and derivatives are used to manage the fund. The index is rebalanced quarterly. Prior to April 10, 2023, the fund traded under the name iShares MSCI Peru ETF.","The investment seeks to track the investment results of the MSCI All Peru Capped Index. The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. A significant portion of the index is represented by securities of companies in the financials and materials industries or sectors. Companies with economic exposure to and/or carry out the majority of their operations in Peru may include companies organized, listed, or with significant operations in developed countries. The fund is non-diversified.","The iShares MSCI Peru ETF (EPU) is a passively managed fund designed to track the market cap-weighted MSCI All Peru Capped Index, aiming to provide broad exposure to Peru equities. While structured as a non-diversified fund, it generally invests at least 80% of its assets in the index's component securities or equivalent investments. The index includes companies classified, headquartered, or listed in Peru, as well as those with significant economic exposure to the country, holding stocks across all capitalizations. Heavily weighted in financials and materials sectors, the fund meets IRS diversification requirements by applying MSCI's 25/50 capping methodology to manage concentrations. The index is rebalanced quarterly.","The fund generally will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index. A significant portion of the index is represented by securities of companies in the financials and materials industries or sectors. Companies with economic exposure to and/or carry out the majority of their operations in Peru may include companies organized, listed, or with significant operations in developed countries. The fund is non-diversified."
NUBD,Nuveen ESG U.S. Aggregate Bond ETF,"Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index utilizes certain environmental, social, and governance (""ESG"") criteria to select from the securities included in the Bloomberg U.S. Aggregate Bond Index (the ""base index""), which is designed to broadly capture the U.S. investment grade, taxable fixed income market.","NUBD tracks an index of US investment-grade bonds selected for exhibiting certain environmental, social, and governance criteria.

NUBD is an ESG-focused fund that draws its holdings from the Bloomberg U.S. Aggregate Bond Index (the venerable Agg), which is comprised of Treasurys, agency debt, MBS, CMBS, ABS, and investment-grade corporates. NUBD screens its constituents based on ESG criteria, relative to industry peers, as determined by MSCI. ABS, MBS, and CMBS are included without application of the ESG criteria. Bonds that pass these screens are market-value-weighted within sectors, and each sector receives the same weight as in the parent index.","The investment seeks to track the investment results, before fees and expenses, of the Bloomberg MSCI U.S. Aggregate ESG Select Index (the ""index""). Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index utilizes certain environmental, social, and governance (""ESG"") criteria to select from the securities included in the Bloomberg U.S. Aggregate Bond Index (the ""base index""), which is designed to broadly capture the U.S. investment grade, taxable fixed income market.","The Nuveen ESG U.S. Aggregate Bond ETF tracks an index that selects U.S. investment-grade bonds from the broad Bloomberg U.S. Aggregate Bond Index based on environmental, social, and governance (ESG) criteria. The base index covers the U.S. investment grade, taxable fixed income market, including Treasurys, agency debt, MBS, CMBS, ABS, and investment-grade corporates. The fund applies MSCI ESG screens to constituents, though MBS, CMBS, and ABS are notably included without this specific screening. Under normal conditions, the fund invests at least 80% of assets in these components, which are market-value-weighted within sectors to reflect the parent index's weighting.","Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index utilizes certain environmental, social, and governance (""ESG"") criteria to select from the securities included in the Bloomberg U.S. Aggregate Bond Index (the ""base index""), which is designed to broadly capture the U.S. investment grade, taxable fixed income market."
DPST,Direxion Daily Regional Banks Bull 3X Shares,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index is a modified equal-weighted index that is designed to measure performance of the stocks comprising the S&P Total Market Index that are classified in the GICS regional banks sub-industry. The fund is non-diversified.","DPST provides a way for investors to take a 3x leveraged bullish exposure to an equal-weighted index of US regional banks. The fund specifically holds securities from the S&P Total Market Index that are classified under the regional banks sub-industry according to GICS. Its equal-weighting scheme lowers concentration thus, reducing single-name risk. As a geared product with daily resets, DPST is designed as a short-term trading tool and not a long-term investment vehicle. As a result, long-term returns could materially differ from those of the underlying index due to daily compounding. Prior to December 1, 2016, DPST tracked the Solactive US Regional Banks Index.","The investment seeks daily investment results, before fees and expenses, of 300% of the daily performance of the S&P Regional Banks Select Industry Index. The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index, that, in combination, provide 3X daily leveraged exposure to the index, consistent with the fund's investment objective. The index is a modified equal-weighted index that is designed to measure performance of the stocks comprising the S&P Total Market Index that are classified in the GICS regional banks sub-industry. The fund is non-diversified.","The Direxion Daily Regional Banks Bull 3X Shares (DPST) is designed to provide 3x daily leveraged bullish exposure to US regional banks, seeking daily investment results, before fees and expenses, equal to 300% of the daily performance of the S&P Regional Banks Select Industry Index. The fund achieves this by investing at least 80% of its net assets in financial instruments like swap agreements and securities of the index. The underlying S&P Regional Banks Select Industry Index is a modified equal-weighted index tracking regional bank stocks from the S&P Total Market Index based on GICS classification. Due to its 3x leverage and daily reset feature, DPST is intended as a short-term trading tool, and its performance over periods longer than one day can differ significantly from 300% of the index's return due to daily compounding. The fund is non-diversified.","The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a modified equal-weighted index that is designed to measure performance of the stocks comprising the S&P Total Market Index that are classified in the GICS regional banks sub-industry. The fund is non-diversified."
