symbol,name,merged_description,description_original,description_etfcom,description_yahoo,description_morningstar
FTXO,First Trust Nasdaq Bank ETF,"This non-diversified fund invests at least 90% of its assets in the common stocks and depository receipts comprising its underlying index, focusing on the U.S. banking sector. It specifically targets the 30 most liquid U.S. banking companies, including those involved in various financial services. Rather than market-cap weighting, the fund employs a factor-based approach, weighting selected holdings based on a cumulative score derived from volatility (trailing one-year), value (cash flow to price), and growth (average price returns). Individual holdings are capped at 8%, and the portfolio undergoes annual reconstitution and quarterly rebalancing to maintain its strategic exposure to banking stocks demonstrating these specific factor characteristics.","The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depository receipts that comprise the underlying index. The index is designed to provide exposure to U.S. companies comprising the banking sector that have been selected based upon their liquidity and weighted based upon their cumulative score on three investing factors: volatility, value and growth. The fund is non-diversified.","FTXO tracks an index composed of the most liquid US banking companies. Holdings are selected by their liquidity, and weighted based on volatility, value, and growth factors.

FTXO invests in liquid US banking companies, ranked and weighted by their volatility, value, and growth factors. The fund selects the 30 most liquid banking stocks, including companies involved in financial services, retail banking, loans, and transactions. These stocks are ranked based on their trailing one-year volatility, cash flow to price, and their average three-, six-, nine-, and twelve-month price returns, and weighted according to their respective scores. No single constituent can hold more than 8% of the total holdings. The index undergoes annual reconstitution and quarterly rebalance.",The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the underlying index. The index is designed to provide exposure to U.S. companies comprising the banking sector that have been selected based upon their liquidity and ranking. The fund is non-diversified.,The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an equity index called the Nasdaq US Smart Banks TM Index. The fund will normally invest at least 90% of its net assets (including investment borrowings) in the securities that comprise the underlying index. The index is designed to provide exposure to U.S. companies comprising the banking sector that have been selected based upon their liquidity and ranking. The fund is non-diversified.
VWUAX,Vanguard U.S. Growth Fund Admiral Shares,"This investment vehicle targets long-term capital appreciation through investments primarily in large-capitalization U.S. stocks. Its core investment concept involves identifying companies with above-average earnings growth potential whose shares trade at reasonable prices relative to expected earnings. Reflecting its domestic focus, the fund normally allocates at least 80% of its assets to securities issued by U.S. companies. It utilizes multiple investment advisors to manage its portfolio and is classified as non-diversified.","The fund invests mainly in large-capitalization stocks of U.S. companies considered to have above-average earnings growth potential and reasonable stock prices in comparison with expected earnings. Under normal circumstances, at least 80% of its assets will be invested in securities issued by U.S. companies. The manager uses multiple investment advisors. It is non-diversified.",,,"The investment seeks to provide long-term capital appreciation. The fund invests mainly in large-capitalization stocks of U.S. companies considered to have above-average earnings growth potential and reasonable stock prices in comparison with expected earnings. Under normal circumstances, at least 80% of its assets will be invested in securities issued by U.S. companies. The manager uses multiple investment advisors. It is non-diversified."
NUSC,Nuveen ESG Small-Cap ETF,"This investment vehicle provides exposure to U.S. small-capitalization companies selected based on specific environmental, social, and governance (ESG) criteria. It tracks a multi-factor-weighted index derived from a broad U.S. small-cap benchmark, screening potential holdings for factors such as climate impact, resource management, employee relations, product safety, corporate governance, and business ethics. Furthermore, the strategy explicitly excludes companies with significant involvement in alcohol, tobacco, firearms, gambling, and nuclear weapons. Typically investing at least 80% of its assets in these index components, the fund utilizes a multi-factor weighting approach aiming to maintain certain characteristics similar to the broader small-cap market, with its underlying index rebalanced and reconstituted quarterly.","Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index is comprised of equity securities issued by small-capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria.","NUSC tracks a multi-factor-weighted index of small-cap companies listed on US exchanges. Holdings are screened for environmental, social, and governance (ESG) criteria.

NUSC takes the popular ESG theme and slices it specifically within the small-cap space. The fund`s underlying index is derived from the MSCI USA Small Cap Index (the parent index), with further screening for environmental, social, and governance criteria. Environmental factors include impact on climate change, natural resource use, and emission management. Social categories include relationships with employees and suppliers, and product safety. Lastly, the governance criteria look at corporate governance and business ethics. Additionally, the index stays away from companies with involvement in alcohol, tobacco, firearms, gambling and nuclear weapons. The portfolio is weighted according to a multi-factor optimization algorithm that aims to keep holdings and performance similar to the parent index. The underlying index is rebalanced and reconstituted quarterly starting each February. Sibling fund NULC applies the same strategy to US large caps.",,"The investment seeks to track the investment results, before fees and expenses, of the TIAA ESG USA Small-Cap Index (the ""index""). Under normal market conditions, the fund invests at least 80% of the sum of its net assets and the amount of any borrowings for investment purposes in component securities of the index. The index is comprised of equity securities issued by small-capitalization companies listed on U.S. exchanges that meet certain environmental, social, and governance (""ESG"") criteria."
IMLP,iPath S&P MLP ETN,"This investment product provides exposure to an index of leading partnerships, specifically Master Limited Partnerships (MLPs) and publicly traded Limited Liability Companies with similar structures and tax benefits. These entities are classified within the GICS Energy Sector and Gas Utilities Industry, trade on major U.S. exchanges, and are selected for the index calculated and maintained by S&P Dow Jones Indices. The core concept is to offer investors access to the performance of these U.S.-based energy and utility-focused partnership structures.","The index is designed to provide exposure to leading partnerships that trade on major U.S. exchanges and are classified in the GICS Energy Sector and GICS Gas Utilities Industry according to the Global Industry Classification Standard® (""GICS""). It includes both master limited partnerships (""MLPs"") and publicly traded limited liability companies which have a similar legal structure to MLPs and share the same tax benefits as MLPs (collectively, the ""index constituents""). The index is calculated, maintained and published by S&P Dow Jones Indices LLC.",,"The index is designed to provide exposure to leading partnerships that trade on major U.S. exchanges and are classified in the GICS Energy Sector and GICS Gas Utilities Industry according to the Global Industry Classification Standard® (“GICS”). It includes both master limited partnerships (“MLPs”) and publicly traded limited liability companies which have a similar legal structure to MLPs and share the same tax benefits as MLPs (collectively, the “index constituents”). The index is calculated, maintained and published by S&P Dow Jones Indices LLC.",
DRW,WisdomTree New Economy Real Estate ETF,"This non-diversified fund invests globally in REITs and real estate-related companies, including ADRs, that are linked to or support the 'new economy'. Constituents are selected and weighted based on proprietary scores evaluating their exposure—often via tenants—to technology, life sciences, e-commerce, and modern logistics. The methodology also screens out companies with high leverage, adjusting initial market-cap weights based on technology and growth/valuation factors. Seeking to invest primarily in index components, the portfolio is rebalanced semi-annually.","Under normal circumstances, at least 80% of the fund's total assets will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index selects constituents from a parent universe of global equity securities, including ADRs, of listed real estate investment trusts (“REITs”) and companies identified as being significantly real estate related. The fund is non-diversified.","WTRE targets technology-focused real estate companies globally. Each eligible company is assigned a Technology Score based on two factors: 1) revenue received from the technology, life sciences, and R&D sectors, either directly or indirectly through its tenants that are engaged in such industries, and 2) the extent to which the constituent and/or its tenants enable or are exposed to sciences, e-commerce, or new economy logistics. The highest scoring firms are selected and are further screened to exclude highly levered companies with debt to total market-cap above 70%. Holdings are initially weighted based on market-cap. These weights are adjusted based on a combination of each constituents Technology and New Economy (growth and valuation rank) scores. The index rebalances and reconstitutes semi-annually. Prior to April 20, 2022, the fund traded as the WisdomTree Global ex-US Real Estate Fund (Ticker: DRW) and tracked a WisdomTree Index that utilizes a dividend-focused strategy.",,
BDVG,Litman Gregory Funds Trust IMGP,"This actively managed ETF seeks dividend income and long-term capital appreciation by investing primarily (at least 80% of its assets) in a concentrated portfolio of 30 to 40 U.S. large-cap companies. The core strategy focuses on selecting firms with high, stable, and growing dividends, emphasizing those with strong track records of quarterly payments and expectations of increasing dividends over the next five years. Selection criteria include evaluating current dividend yield (often relative to the S&P 500 index), dividend stability (assessed via balance sheet strength and leverage), and potential for dividend growth (considering factors like ROE). While focusing on U.S. equities, the fund retains flexibility to invest up to 15% of its assets in foreign securities.","The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its objective by investing at least 80% of its net assets, plus borrowings for investment purposes, in common stocks of U.S. companies that pay dividends annually, with an emphasis on stocks that have a strong track record of paying quarterly dividends or that are expected to increase their dividends over the next one to five years.","BDVG seeks income and long-term capital appreciation through an actively managed portfolio of 30 to 40 US large-cap companies with high, stable, and growing dividends.

BDVG offers a dividend-skewed take on the US large-cap equity space. The fund targets 30 to 40 dividend-paying companies that have a strong track record of paying quarterly dividends and are expected to increase their dividends over the next five years. The sub-adviser selects such companies based on current dividend yield, dividend stability, as well as history of and potential for dividend growth. The fund seeks to invest in companies with a current dividend yield that is at least as high as the S&P 500 Index average yield, or if not, have a clear path to paying higher dividends. Each firms balance sheet is evaluated, including the amount of company leverage that may potentially impact dividend stability. Lastly, the fund utilizes the companys ROE to assess prospects for dividend growth. The sub-adviser focuses on a companys regular, periodic dividends but may also consider past payments of special dividends. The fund may invest up to 15% of its net assets in foreign securities.",,"The investment seeks dividend income and long-term capital appreciation. The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its objective by investing at least 80% of its net assets, plus borrowings for investment purposes, in common stocks of U.S. companies that pay dividends annually, with an emphasis on stocks that have a strong track record of paying quarterly dividends or that are expected to increase their dividends over the next one to five years."
IYE,iShares U.S. Energy ETF,"This investment fund aims to track the performance of the U.S. large-cap energy sector by following the Russell 1000 Energy RIC 22.5/45 Capped Index. It holds a concentrated, non-diversified portfolio primarily composed of large U.S. companies involved in oil and gas production and distribution. The fund utilizes a market-capitalization weighting methodology, subject to regulatory constraints limiting single security weights to 22.5% and the aggregate weight of positions exceeding 4.5% to 45%. Typically investing at least 80% of its assets in its index's component securities or economically similar investments, the fund rebalances its holdings quarterly to maintain alignment with its target index.",The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the energy sector of the U.S. equity market. The fund is non-diversified.,"IYE tracks a market-cap-weighted index of large-cap US companies in the energy industry.

IYE covers the energy segment of the US large-cap equity market. The fund holds a concentrated portfolio of companies that facilitate production and distribution of oil and gas. The underlying index is part of Russells US large cap sector indicesa series of representative indices that integrates ICBs sector classification framework on Russell 1000. Holdings are market-cap-weighted, subject to regulatory capping which limits single security weights at 22.5% and aggregate weight of securities exceeding 4.5% allocation at 45%. Index rebalancing occurs quarterly. Prior to September 20, 2021, the fund tracked the Dow Jones U.S. Oil & Gas Index.",,The investment seeks to track the investment results of the Russell 1000 Energy RIC 22.5/45 Capped Index composed of U.S. equities in the energy sector. The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the energy sector of the U.S. equity market. The fund is non-diversified.
NIFE,Direxion Fallen Knives ETF,"This investment fund focuses on U.S. equity securities that have experienced significant share price declines over the prior year. However, its selection process targets only those companies demonstrating financial health, suggesting a potential for future share price recovery. The fund typically invests at least 80% of its assets in securities comprising an underlying index designed to capture these specific characteristics, or in investments with similar economic features. It should be noted that this fund is classified as non-diversified.","The fund, under normal circumstances, invests at least 80% of its assets in the securities that comprise the index or investments with economic characteristics similar to the securities included in the index. The index is designed by Indxx, LLC to consist of U.S. equity securities that have experienced considerable share price declines over the prior year but have financial health, suggesting that the security has potential for share price recovery in the future. It is non-diversified.",,,
FEMB,First Trust Emerging Markets Local Currency Bond ETF,"Seeking maximum total return and current income, this actively managed fund primarily invests at least 80% of its assets in bonds, notes, and bills issued or guaranteed by entities within emerging market countries. Crucially, these debt instruments are denominated in the local currencies of the issuers, covering any maturity or credit quality, including unrated securities. This local currency exposure makes foreign exchange volatility a significant driver of total returns, alongside potential impacts stemming from US interest rate fluctuations affecting local rates or currency movements. The fund operates as a non-diversified portfolio, allowing for discretionary investment decisions within its strategy.","Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in bonds, notes and bills issued or guaranteed by entities incorporated or domiciled in emerging market countries (collectively, ""Bonds"") that are denominated in the local currency of the issuer. It is non-diversified.","FEMB provides exposure to the emerging-market sovereign bond fund space. Like other funds that hold debt denominated in local currencies, FX volatilities will be material drivers in the funds total return, both upside and downside. Additionally, underpinned by the interest-rate parity model, the impact of interest-rate volatilities in the US will manifest itself either in the forms of local interest rates or FX volatilities. As such, investors of foreign sovereign debts are not fully shielded from interest-rate volatilities in the US. The fund invests in bonds of any maturity or credit quality, including unrated securities. As an actively managed fund, FEMB can make certain investment decisions at its discretion.",,"The investment seeks maximum total return and current income. Under normal market conditions, the fund seeks to achieve its investment objective by investing at least 80% of its net assets (including investment borrowings) in bonds, notes and bills issued or guaranteed by entities incorporated or domiciled in emerging market countries (collectively, ""Bonds"") that are denominated in the local currency of the issuer. It is non-diversified."
CHNA,Loncar China BioPharma ETF,"This investment vehicle focused on tracking the growth of China's pharmaceutical and biotech (biopharma) sector by passively investing in companies involved in these industries. Its portfolio included pharmaceutical and biotech firms, drug manufacturers, diagnostics companies, and biopharma service providers, while deliberately excluding basic ingredient manufacturers to emphasize innovation. The underlying index employed a modified equal-weighting strategy, where initial equal weights were adjusted based on market capitalization tiers, and was reconstituted biannually. It is important to note that this fund was delisted in October 2023 and subsequently merged into a different investment vehicle.","The Advisor attempts to invest all, or substantially all, of its assets in the component securities and depositary receipts that make up the index. The index seeks to track the performance of a modified equal-weighted portfolio of companies directly involved in the growth of China's pharmaceutical and biotech related industries.","The security was delisted. The last day of tradingon an exchange is october 20,2023. his fund is being merged into the Range Cancer Therapeutics ETF (ticker: CNCR) after the market close on October 26, 2023. CHNA targets Chinas pharmaceutical and biotech (biopharma) sector. The fund includes pharmaceutical companies, biotech companies, drug manufacturers, diagnostics companies, wholesalers or distributors of biopharma products, and biopharma service providers. It is worth noting that manufacturers of pharmaceutical ingredients are excluded, as the fund focuses on innovation in the sector. CHNA uses a tiered weighting system. Starting from equal weight, all qualified constituents are assigned a weight adjustment based on market cap. Large cap stocks get a 140% adjustment, midcaps 100%, and small-caps 70%. The index is reconstituted on every second Monday of each February and August.",,
QMJ,Direxion S&P 500 High minus Low Quality ETF,"This non-diversified fund implements a specific quality-focused investment strategy within the S&P 500 universe by tracking a benchmark index. It establishes a 150% long exposure to high-quality S&P 500 stocks while simultaneously maintaining a 50% short exposure to the lowest-quality stocks within the same index. This 150/50 structure is designed to capture the performance difference between high and low-quality companies. The fund primarily invests in the underlying securities of the long portion of the strategy, and its target index incorporates a 0.30% decrement feature.","The investment seeks investment results, before fees and expenses, that track the S&P 500Â® 150/50 Quality 0.30% Decrement Index. The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in securities that comprise the Long Component of the index or shares of exchange-traded funds (""ETFs"") on the Long Component of the index. The index consists of a portfolio that has 150% long exposure to the S&P 500Â® Quality Index (the ""Long Component"") and 50% short (or inverse) exposure to the S&P 500Â® Quality - Lowest Quintile Index (the ""Short Component""). It is non-diversified.",,"The investment seeks investment results, before fees and expenses, that track the S&P 500Â® 150/50 Quality 0.30% Decrement Index.
 The fund, under normal circumstances, invests at least 80% of its net assets (plus borrowing for investment purposes) in securities that comprise the Long Component of the index or shares of exchange-traded funds (""ETFs"") on the Long Component of the index. The index consists of a portfolio that has 150% long exposure to the S&P 500Â® Quality Index (the ""Long Component"") and 50% short (or inverse) exposure to the S&P 500Â® Quality - Lowest Quintile Index (the ""Short Component""). It is non-diversified.",
PSWD,Xtrackers Cybersecurity Select Equity ETF,"This non-diversified fund utilizes a passive, indexing approach to generally track the performance, before fees and expenses, of the Solactive Cyber Security ESG Screened Index. Its core investment concept targets global companies engaged in the cybersecurity industry, encompassing various specific sub-sectors, while applying rigorous sustainability screens. The selection process excludes firms from certain countries and those failing ESG criteria related to UN Global Compact principles, high ESG risk scores (using Sustainalytics data), or involvement in controversial activities like specific weapons, tobacco, thermal coal, and oil and gas. From the eligible universe meeting size and liquidity requirements, the index selects the largest 50 companies, weighting them by market capitalization with a cap on individual security weights.","The fund, using a “passive” or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index, which is comprised of companies that have business operations in the field of cybersecurity and that fulfill certain sustainability criteria. The fund is non-diversified.","PSWD tracks a market cap-weighted index of companies globally that are engaged in the cybersecurity industry. The index screens securities based on various ESG criteria provided by Sustainalytics.

PSWD targets ESG companies in the global cybersecurity industry. The fund selects from a universe of global equities of any capitalization. Eligible firms must meet size and liquidity requirements and have business exposure in these industries: a) carrier edge network management equipment, b) customer premises network security equipment, c) colocation and data center services, d) government IT services, e) network security access policy software, and f) network security software, as classified by FactSet RBICS. Securities listed in China, Egypt, India, Pakistan, or Russia are excluded. The index then applies ESG screens to remove companies that are non-compliant with the UNGC principles, have an ESG risk score of 40 or higher, and are involved in controversial and conventional weapons, tobacco, thermal coal, and oil and gas. From the remaining list, the largest 50 stocks are selected and weighted by market cap, subject to a maximum weight of 4.5% for each security.",,"The investment seeks investment results that correspond generally to the performance, before fees and expenses, of the Solactive Cyber Security ESG Screened Index. The fund, using a “passive” or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index, which is comprised of companies that have business operations in the field of cybersecurity and that fulfill certain sustainability criteria. The fund is non-diversified."
ARKA,EA Series Trust ARK 21Shares Ac,"Seeking capital appreciation, this actively managed exchange-traded fund invests primarily in cash-settled Bitcoin futures contracts, typically traded on the Chicago Mercantile Exchange (CME), while explicitly avoiding direct investment in Bitcoin or exposure to its spot price. A core element of its strategy involves actively managing these futures positions, often held through a Cayman Islands subsidiary and targeting over 25% of total assets, utilizing a rolling methodology aimed at optimizing roll yield by selecting contracts based on cost, liquidity, and other factors. The remainder of the fund's assets are generally held in short-term cash instruments, such as U.S. Treasury securities and money market funds, to provide liquidity and serve as collateral for the futures investments. The fund is non-diversified and may employ leverage through mechanisms like reverse repurchase agreements.","The fund is an actively managed exchange-traded fund. Under normal market conditions, the fund will seek to achieve its investment objective by investing in a portfolio of bitcoin futures contracts. The fund is non-diversified.","ARKA is actively managed, seeking capital appreciation through a portfolio comprised of USD, cash-settled Bitcoin (BTC) futures contracts. The fund does not directly invest in Bitcoin or other digital assets and refrains from maintaining direct exposure to its spot price.

ARKA holds standardized, cash-settled Bitcoin futures traded on the Chicago Mercantile Exchange (CME). With a targeted allocation of over 25% of total assets, the fund operates through a subsidiary structure based in the Cayman Islands. The fund employs a rolling strategy that seeks optimal roll yield by investing in contracts with the most attractive combination of cost, liquidity, and other relevant factors. Typically, these contracts have monthly or quarterly contract periods. Moreover, the fund may invest in front-month Bitcoin futures contracts and usually rolls to the next nearby contracts at the time believed to generate the greatest roll yield. To provide liquidity and collateral for Bitcoin Futures investments, the remaining assets are diversified into short-term cash instruments, including U.S. Treasury securities and money market instruments. Additionally, the fund may engage in leveraging through reverse repurchase agreements.",,"The investment seeks capital appreciation. The fund is an actively managed exchange-traded fund. Under normal market conditions, the fund will seek to achieve its investment objective by investing in a portfolio of bitcoin futures contracts. The fund is non-diversified."
CSD,Invesco S&P Spin-Off ETF,"This exchange-traded fund offers focused exposure to U.S. companies that have been spun off from a parent corporation within the last four years, tracking an underlying S&P index composed of these equities. It invests at least 90% of its assets in the index components, primarily targeting large- and mid-cap firms meeting a minimum market capitalization threshold. The core investment concept centers on the potential for spun-off entities to perform well due to a singular focus on their core business. Offering relatively pure-play exposure to this theme without additional factor screens, the fund is non-diversified, allows for potential single-stock concentration up to a limit at its monthly reconstitution, and provides a distinct strategy within the equity market.",The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is designed to measure the performance of U.S. companies that have been spun off from a parent company within the past four years. The fund is non-diversified.,"CSD tracks an index of mostly large- and mid-cap US equities that have broken away from their parent firms in the last 4 years.

CSD offers niche equity exposure to spin-offs. The idea: A firm spun off from a larger parent has a singular focus on its core business, rather than being a rudderless component of a larger whole. Its S&P index uses a 4-year look back, and names can be added immediately once the monthly reconstitution rolls around. Single-name exposure can be concentrated up to 7% at rebalance. CSD pulls from a broad US index (not from the S&P 500) but screens out smaller firms with a minimum $1B market-cap screen. It applies no additional selection screens, however, thus offering reasonably pure-play exposure to its narrow thesis. Note: Prior to May 20, 2016, CSD tracked the Beacon Spin-off Index, which used different time horizons and had a growth-oriented multi-factor selection process. The change was material but the spin-off thesis remains the same.",The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is designed to measure the performance of U.S. companies that have been spun off from a parent company within the past four years. The fund is non-diversified.,"The investment seeks to track the investment results (before fees and expenses) of the S&P U.S. Spin-Off Index (the ""underlying index""). The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index. The underlying index is designed to measure the performance of U.S. companies that have been spun off from a parent company within the past four years. The fund is non-diversified."
DTEC,ALPS Disruptive Technologies ETF,"This exchange-traded fund provides exposure to global companies pioneering disruptive technologies across ten distinct thematic areas, such as healthcare innovation, clean energy, cloud computing, robotics & AI, and cybersecurity. It tracks an index designed to identify 100 relevant companies, selecting 10 from each theme using a proprietary model. A defining characteristic is its equal-weighting methodology, where each of the 100 holdings receives an equal allocation, ensuring balanced representation across both individual companies and the diverse technological themes. Investing at least 80% of its assets in the underlying index components drawn from developed and emerging markets, the fund undergoes annual reconstitution and quarterly rebalancing to maintain its strategic focus.","The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index is designed to identify the companies using disruptive technologies in each of ten thematic areas: Healthcare Innovation, Internet of Things, Clean Energy and Smart Grid, Cloud Computing, Data and Analytics, FinTech, Robotics and Artificial Intelligence, Cybersecurity, 3D Printing, and Mobile Payments.","DTEC tracks an index of 100 global companies that are involved in disruptive technologies across 10 themes.

DTEC covers 10 different themes within the tech sectorhealthcare innovation, internet of things, clean energy & smart grid, cloud computing, data & analytics, fintech, robotics & AI, cybersecurity, 3D printing, and mobile paymentsall with a focus on disruptive technologies and innovation. The index selects 10 companies from each theme according to a proprietary model and equally weights each security. This effectively gives each theme and each company equal representation. The fund is not limited to a specific geography and can select companies from developed and emerging markets alike. The index is reconstituted annually and rebalanced quarterly.",,"The investment seeks investment results that correspond (before fees and expenses) generally to the performance of the Indxx Disruptive Technologies Index (the ""underlying index""). The fund will invest at least 80% of its net assets in securities that comprise the underlying index. The underlying index is designed to identify the companies using disruptive technologies in each of ten thematic areas: Healthcare Innovation, Internet of Things, Clean Energy and Smart Grid, Cloud Computing, Data and Analytics, FinTech, Robotics and Artificial Intelligence, Cybersecurity, 3D Printing, and Mobile Payments."
XLP,The Consumer Staples Select Sector SPDR Fund,"This investment vehicle seeks to mirror the performance of a market-cap-weighted index representing the consumer staples sector drawn from the S&P 500. Utilizing a replication strategy, it invests substantially all (at least 95%) of its assets in the index's constituent securities, which are primarily large-cap companies identified via GICS® classifications within industries such as food and staples retailing, beverages, food products, tobacco, and household and personal products. By focusing solely on S&P 500 components, the fund offers somewhat concentrated, non-diversified exposure, allowing investors precise tactical or strategic positioning within the U.S. consumer staples segment, known for its stability; the underlying index is rebalanced quarterly.","The Consumer Staples Select Sector SPDR Fund seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of the Consumer Staples Select Sector Index (the “Index”)The Index seeks to provide an effective representation of the consumer staples sector of the S&P 500 IndexSeeks to provide precise exposure to companies from consumer staples distribution & retail; household products; food products; beverages; tobacco; and personal care products industries in the U.S.Allows investors to take strategic or tactical positions at a more targeted level than traditional style based investing","XLP tracks a market-cap-weighted index of consumer-staples stocks drawn from the S&P 500.

XLP delivers a representative if slightly conservative basket of consumer-staples firms. Because XLP pulls its stocks from the S&P 500 rather than the broad market, it holds far fewer names than our benchmark, producing somewhat-concentrated exposure. The fund's holdings are nearly all large-caps, which investors may appreciate for their familiarity and stability. XLP seeks to provide exposure to stocks in the following industries: food and staples retailing, beverage, food products, tobacco, household and personal products. The index is reconstituted and rebalanced on a quarterly basis.","In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified.","The investment seeks to provide investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Consumer Staples Select Sector Index. In seeking to track the performance of the index, the fund employs a replication strategy. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Consumer Staples companies by the GICS®. It is non-diversified."
IXG,iShares Global Financials ETF,"This exchange-traded fund provides targeted exposure to the global financials sector by tracking a market-capitalization-weighted index composed of large- and mid-cap financial companies deemed globally significant. It primarily invests at least 80% of its assets in the securities of its underlying index, focusing heavily on large banks and insurance firms. This results in a relatively concentrated portfolio compared to broader benchmarks, leading to potentially higher beta and a distinct large-cap tilt. Despite this concentration, the fund is recognized for its cost-efficiency, closely tracking its index, and offers good liquidity with manageable trading spreads suitable for various investment sizes. Up to 20% of assets may be held in derivatives, cash, or cash equivalents.","The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index measures the performance of companies that the index provider deems to be part of the financials sector of the economy and that the index provider believes are important to global markets.","IXG tracks a market cap-weighted index of large- and mid-cap global financial stocks.

IXG is a high-beta play on global financials, due in large part to the fund's heavier concentration versus our benchmark. Despite the fact that IXG holds many of the same stocks in its top 10 as our benchmark, its far smaller basket means that large-cap banks and insurance companies are held in greater weights. As one might expect, IXG carries an elevated beta and tilts hard toward large-caps. IXG can be traded fairly with some care. Daily volume is robust and spreads are manageable. The fund's liquid basket is good news for larger investors seeking to trade in bulk. IXG is also an incredibly Efficient fund. It recovers almost all of its already-reasonable fee, tracking its index almost perfectly. Overall, IXG is a cost-effective and reasonably liquid way to access global financials, at the expense of some added concentration.",,"The investment seeks to track the investment results of the S&P Global 1200 Financials IndexTM. The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The index measures the performance of companies that the index provider deems to be part of the financials sector of the economy and that the index provider believes are important to global markets."
IDAT,iShares Cloud 5G and Tech ETF,"This ETF provides targeted exposure to global technology companies, spanning both developed and emerging markets, poised to benefit significantly from the expansion of cloud computing and 5G connectivity. Its underlying index selects leading firms identified through research based on their substantial current and projected revenue derived from these two core themes. Within each thematic group (cloud and 5G), the top companies are included and weighted by market capitalization, subject to individual position caps (e.g., 2.5%). The portfolio undergoes annual rebalancing and reconstitution to maintain approximately equal allocations between the two primary themes. While investing at least 80% of its assets in securities tracking the index or those with substantially identical economic characteristics, the fund may allocate up to 20% to other instruments like derivatives and cash, and it is classified as non-diversified.","The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 10% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.","IDAT tracks an index of global technology companies that focus on two primary themes: cloud computing and 5G. Holdings are weighted by market-cap within each theme.

IDAT targets global digital infrastructure technology providers which are specifically identified by Morningstars research team as companies that benefit from having significant exposure to two primary themes: cloud computing and 5G. Eligible firms that meet size and liquidity screens are further evaluated based on their current and projected 5-, 10-, and 20-year revenue from cloud computing- and 5G-related businesses. Companies are then scored based on their given betas relative to each theme.The top 25 companies within each primary theme are selected and weighted by market-cap. Individual positions are capped at 2.5% weight. Holdings are rebalanced and reconstituted annually to have equal allocations on each primary theme group.","The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified.","The investment seeks to track the investment results of the Morningstar® Global Digital Infrastructure & Connectivity IndexSM composed of companies from developed and emerging markets that could benefit from providing products, services, and technologies related to cloud computing and 5G. The fund will invest at least 80% of its assets in the component securities of the index and in investments that have economic characteristics that are substantially identical to the component securities of the index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
